Plate,Row,Column,LABID,Miseq.num,fname
1,A,1,z0195258,28277,z0195258_Mnov_MS51_n0028277_R1.fastq.gz
1,B,1,z0195643,28278,z0195643_Mnov_MS51_n0028278_R1.fastq.gz
1,C,1,z0195644,28279,z0195644_Mnov_MS51_n0028279_R1.fastq.gz
1,D,1,z0195645,28280,z0195645_Mnov_MS51_n0028280_R1.fastq.gz
1,E,1,z0195646,28281,z0195646_Mnov_MS51_n0028281_R1.fastq.gz
1,F,1,z0195647,28282,z0195647_Mnov_MS51_n0028282_R1.fastq.gz
1,G,1,z0195648,28283,z0195648_Mnov_MS51_n0028283_R1.fastq.gz
1,H,1,z0195650,28284,z0195650_Mnov_MS51_n0028284_R1.fastq.gz
1,A,2,z0195651,28285,z0195651_Mnov_MS51_n0028285_R1.fastq.gz
1,B,2,z0195653,28286,z0195653_Mnov_MS51_n0028286_R1.fastq.gz
1,C,2,z0195656,28287,z0195656_Mnov_MS51_n0028287_R1.fastq.gz
1,D,2,z0195657,28288,z0195657_Mnov_MS51_n0028288_R1.fastq.gz
1,E,2,z0195659,28289,z0195659_Mnov_MS51_n0028289_R1.fastq.gz
1,F,2,z0195662,28290,z0195662_Mnov_MS51_n0028290_R1.fastq.gz
1,G,2,z0195664,28291,z0195664_Mnov_MS51_n0028291_R1.fastq.gz
1,H,2,z0195665,28292,z0195665_Mnov_MS51_n0028292_R1.fastq.gz
1,A,3,z0195667,28293,z0195667_Mnov_MS51_n0028293_R1.fastq.gz
1,B,3,z0195668,28294,z0195668_Mnov_MS51_n0028294_R1.fastq.gz
1,C,3,z0195669,28295,z0195669_Mnov_MS51_n0028295_R1.fastq.gz
1,D,3,z0195670,28296,z0195670_Mnov_MS51_n0028296_R1.fastq.gz
1,E,3,z0195671,28297,z0195671_Mnov_MS51_n0028297_R1.fastq.gz
1,F,3,z0195672,28298,z0195672_Mnov_MS51_n0028298_R1.fastq.gz
1,G,3,z0195673,28299,z0195673_Mnov_MS51_n0028299_R1.fastq.gz
1,H,3,z0195674,28300,z0195674_Mnov_MS51_n0028300_R1.fastq.gz
1,A,4,z0195675,28301,z0195675_Mnov_MS51_n0028301_R1.fastq.gz
1,B,4,z0195677,28302,z0195677_Mnov_MS51_n0028302_R1.fastq.gz
1,C,4,z0195678,28303,z0195678_Mnov_MS51_n0028303_R1.fastq.gz
1,D,4,z0195679,28304,z0195679_Mnov_MS51_n0028304_R1.fastq.gz
1,E,4,z0195680,28305,z0195680_Mnov_MS51_n0028305_R1.fastq.gz
1,F,4,z0195681,28306,z0195681_Mnov_MS51_n0028306_R1.fastq.gz
1,G,4,z0195682,28307,z0195682_Mnov_MS51_n0028307_R1.fastq.gz
1,H,4,z0195684,28308,z0195684_Mnov_MS51_n0028308_R1.fastq.gz
1,A,5,z0195685,28309,z0195685_Mnov_MS51_n0028309_R1.fastq.gz
1,B,5,z0195686,28310,z0195686_Mnov_MS51_n0028310_R1.fastq.gz
1,C,5,z0195689,28311,z0195689_Mnov_MS51_n0028311_R1.fastq.gz
1,D,5,z0195693,28312,z0195693_Mnov_MS51_n0028312_R1.fastq.gz
1,E,5,z0195695,28313,z0195695_Mnov_MS51_n0028313_R1.fastq.gz
1,F,5,z0195697,28314,z0195697_Mnov_MS51_n0028314_R1.fastq.gz
1,G,5,z0195703,28315,z0195703_Mnov_MS51_n0028315_R1.fastq.gz
1,H,5,z0195706,28316,z0195706_Mnov_MS51_n0028316_R1.fastq.gz
1,A,6,z0195707,28317,z0195707_Mnov_MS51_n0028317_R1.fastq.gz
1,B,6,z0195708,28318,z0195708_Mnov_MS51_n0028318_R1.fastq.gz
1,C,6,z0195709,28319,z0195709_Mnov_MS51_n0028319_R1.fastq.gz
1,D,6,z0195710,28320,z0195710_Mnov_MS51_n0028320_R1.fastq.gz
1,E,6,z0195712,28321,z0195712_Mnov_MS51_n0028321_R1.fastq.gz
1,F,6,z0195713,28322,z0195713_Mnov_MS51_n0028322_R1.fastq.gz
1,G,6,z0195714,28323,z0195714_Mnov_MS51_n0028323_R1.fastq.gz
1,H,6,z0195717,28324,z0195717_Mnov_MS51_n0028324_R1.fastq.gz
1,A,7,z0195720,28325,z0195720_Mnov_MS51_n0028325_R1.fastq.gz
1,B,7,z0195721,28326,z0195721_Mnov_MS51_n0028326_R1.fastq.gz
1,C,7,z0195722,28327,z0195722_Mnov_MS51_n0028327_R1.fastq.gz
1,D,7,z0195727,28328,z0195727_Mnov_MS51_n0028328_R1.fastq.gz
1,E,7,z0195729,28329,z0195729_Mnov_MS51_n0028329_R1.fastq.gz
1,F,7,z0195730,28330,z0195730_Mnov_MS51_n0028330_R1.fastq.gz
1,G,7,z0195733,28331,z0195733_Mnov_MS51_n0028331_R1.fastq.gz
1,H,7,z0195735,28332,z0195735_Mnov_MS51_n0028332_R1.fastq.gz
1,A,8,z0195736,28333,z0195736_Mnov_MS51_n0028333_R1.fastq.gz
1,B,8,z0195738,28334,z0195738_Mnov_MS51_n0028334_R1.fastq.gz
1,C,8,z0195739,28335,z0195739_Mnov_MS51_n0028335_R1.fastq.gz
1,D,8,z0195741,28336,z0195741_Mnov_MS51_n0028336_R1.fastq.gz
1,E,8,z0195742,28337,z0195742_Mnov_MS51_n0028337_R1.fastq.gz
1,F,8,z0195743,28338,z0195743_Mnov_MS51_n0028338_R1.fastq.gz
1,G,8,z0195748,28339,z0195748_Mnov_MS51_n0028339_R1.fastq.gz
1,H,8,z0195750,28340,z0195750_Mnov_MS51_n0028340_R1.fastq.gz
1,A,9,z0195755,28341,z0195755_Mnov_MS51_n0028341_R1.fastq.gz
1,B,9,z0195756,28342,z0195756_Mnov_MS51_n0028342_R1.fastq.gz
1,C,9,z0195757,28343,z0195757_Mnov_MS51_n0028343_R1.fastq.gz
1,D,9,z0195759,28344,z0195759_Mnov_MS51_n0028344_R1.fastq.gz
1,E,9,z0195761,28345,z0195761_Mnov_MS51_n0028345_R1.fastq.gz
