"","Sample","tot.reads","Plate","Row","Column","LABID","Miseq.num"
"1","z0011944_Mnov_MS51_n0028451_R1.fastq.gz",133570,2,"G",10,"z0011944",28451
"2","z0016578_Mnov_MS51_n0028452_R1.fastq.gz",55356,2,"H",10,"z0016578",28452
"3","z0018264_Mnov_MS51_n0028453_R1.fastq.gz",92835,2,"A",11,"z0018264",28453
"4","z0029829_Mnov_MS51_n0028454_R1.fastq.gz",60570,2,"B",11,"z0029829",28454
"5","z0029831_Mnov_MS51_n0028565_R1.fastq.gz",13257,8,"A",1,"z0029831",28565
"6","z0029833_Mnov_MS51_n0028566_R1.fastq.gz",528242,8,"B",1,"z0029833",28566
"7","z0029846_Mnov_MS51_n0028455_R1.fastq.gz",8638,2,"C",11,"z0029846",28455
"8","z0029846_Mnov_MS51_n0028468_R1.fastq.gz",4381,2,"H",12,"z0029846",28468
"9","z0029863_Mnov_MS51_n0028456_R1.fastq.gz",13401,2,"D",11,"z0029863",28456
"10","z0029864_Mnov_MS51_n0028457_R1.fastq.gz",22026,2,"E",11,"z0029864",28457
"11","z0029867_Mnov_MS51_n0028458_R1.fastq.gz",296,2,"F",11,"z0029867",28458
"12","z0037611_Mnov_MS51_n0028459_R1.fastq.gz",44930,2,"G",11,"z0037611",28459
"13","z0037624_Mnov_MS51_n0028469_R1.fastq.gz",18737,3,"A",1,"z0037624",28469
"14","z0040334_Mnov_MS51_n0028553_R1.fastq.gz",77385,3,"E",11,"z0040334",28553
"15","z0040345_Mnov_MS51_n0028554_R1.fastq.gz",63869,3,"F",11,"z0040345",28554
"16","z0040345_Mnov_MS51_n0028564_R1.fastq.gz",25423,3,"H",12,"z0040345",28564
"17","z0040363_Mnov_MS51_n0028555_R1.fastq.gz",27877,3,"G",11,"z0040363",28555
"18","z0045329_Mnov_MS51_n0028567_R1.fastq.gz",776116,8,"C",1,"z0045329",28567
"19","z0045331_Mnov_MS51_n0028470_R1.fastq.gz",55308,3,"B",1,"z0045331",28470
"20","z0045332_Mnov_MS51_n0028471_R1.fastq.gz",50718,3,"C",1,"z0045332",28471
"21","z0045333_Mnov_MS51_n0028472_R1.fastq.gz",17432,3,"D",1,"z0045333",28472
"22","z0045337_Mnov_MS51_n0028473_R1.fastq.gz",81224,3,"E",1,"z0045337",28473
"23","z0045342_Mnov_MS51_n0028474_R1.fastq.gz",39336,3,"F",1,"z0045342",28474
"24","z0045350_Mnov_MS51_n0028475_R1.fastq.gz",63563,3,"G",1,"z0045350",28475
"25","z0045350_Mnov_MS51_n0028556_R1.fastq.gz",55356,3,"H",11,"z0045350",28556
"26","z0045357_Mnov_MS51_n0028568_R1.fastq.gz",344942,8,"D",1,"z0045357",28568
"27","z0045358_Mnov_MS51_n0028569_R1.fastq.gz",115942,8,"E",1,"z0045358",28569
"28","z0045401_Mnov_MS51_n0028476_R1.fastq.gz",6792,3,"H",1,"z0045401",28476
"29","z0045792_Mnov_MS51_n0028477_R1.fastq.gz",4548,3,"A",2,"z0045792",28477
"30","z0051185_Mnov_MS51_n0028478_R1.fastq.gz",69267,3,"B",2,"z0051185",28478
"31","z0051324_Mnov_MS51_n0028479_R1.fastq.gz",4582,3,"C",2,"z0051324",28479
"32","z0051324_Mnov_MS51_n0028557_R1.fastq.gz",14564,3,"A",12,"z0051324",28557
"33","z0051326_Mnov_MS51_n0028480_R1.fastq.gz",20954,3,"D",2,"z0051326",28480
"34","z0051328_Mnov_MS51_n0028481_R1.fastq.gz",3930,3,"E",2,"z0051328",28481
"35","z0051380_Mnov_MS51_n0028482_R1.fastq.gz",5827,3,"F",2,"z0051380",28482
"36","z0051402_Mnov_MS51_n0028570_R1.fastq.gz",438799,8,"F",1,"z0051402",28570
"37","z0051402_Mnov_MS51_n0028609_R1.fastq.gz",160,8,"E",6,"z0051402",28609
"38","z0051404_Mnov_MS51_n0028571_R1.fastq.gz",70889,8,"G",1,"z0051404",28571
"39","z0051405_Mnov_MS51_n0028572_R1.fastq.gz",4160,8,"H",1,"z0051405",28572
"40","z0051879_Mnov_MS51_n0028573_R1.fastq.gz",602,8,"A",2,"z0051879",28573
"41","z0051891_Mnov_MS51_n0028483_R1.fastq.gz",57811,3,"G",2,"z0051891",28483
"42","z0051893_Mnov_MS51_n0028484_R1.fastq.gz",69466,3,"H",2,"z0051893",28484
"43","z0051898_Mnov_MS51_n0028574_R1.fastq.gz",92339,8,"B",2,"z0051898",28574
"44","z0051899_Mnov_MS51_n0028575_R1.fastq.gz",91756,8,"C",2,"z0051899",28575
"45","z0051929_Mnov_MS51_n0028485_R1.fastq.gz",10926,3,"A",3,"z0051929",28485
"46","z0051945_Mnov_MS51_n0028576_R1.fastq.gz",2101,8,"D",2,"z0051945",28576
"47","z0051947_Mnov_MS51_n0028486_R1.fastq.gz",62803,3,"B",3,"z0051947",28486
"48","z0051968_Mnov_MS51_n0028577_R1.fastq.gz",145516,8,"E",2,"z0051968",28577
"49","z0053055_Mnov_MS51_n0028578_R1.fastq.gz",5702,8,"F",2,"z0053055",28578
"50","z0053754_Mnov_MS51_n0028487_R1.fastq.gz",263939,3,"C",3,"z0053754",28487
"51","z0053756_Mnov_MS51_n0028488_R1.fastq.gz",3182,3,"D",3,"z0053756",28488
"52","z0053757_Mnov_MS51_n0028489_R1.fastq.gz",25342,3,"E",3,"z0053757",28489
"53","z0053757_Mnov_MS51_n0028558_R1.fastq.gz",38993,3,"B",12,"z0053757",28558
"54","z0053758_Mnov_MS51_n0028490_R1.fastq.gz",36079,3,"F",3,"z0053758",28490
"55","z0053759_Mnov_MS51_n0028491_R1.fastq.gz",358818,3,"G",3,"z0053759",28491
"56","z0053760_Mnov_MS51_n0028492_R1.fastq.gz",9834,3,"H",3,"z0053760",28492
"57","z0053842_Mnov_MS51_n0028493_R1.fastq.gz",6240,3,"A",4,"z0053842",28493
"58","z0053843_Mnov_MS51_n0028494_R1.fastq.gz",67249,3,"B",4,"z0053843",28494
"59","z0053844_Mnov_MS51_n0028495_R1.fastq.gz",30638,3,"C",4,"z0053844",28495
"60","z0053845_Mnov_MS51_n0028496_R1.fastq.gz",26240,3,"D",4,"z0053845",28496
"61","z0053846_Mnov_MS51_n0028497_R1.fastq.gz",1651,3,"E",4,"z0053846",28497
"62","z0053847_Mnov_MS51_n0028498_R1.fastq.gz",224370,3,"F",4,"z0053847",28498
"63","z0053849_Mnov_MS51_n0028499_R1.fastq.gz",90535,3,"G",4,"z0053849",28499
"64","z0056374_Mnov_MS51_n0028500_R1.fastq.gz",11604,3,"H",4,"z0056374",28500
"65","z0056375_Mnov_MS51_n0028501_R1.fastq.gz",82042,3,"A",5,"z0056375",28501
"66","z0056377_Mnov_MS51_n0028502_R1.fastq.gz",76869,3,"B",5,"z0056377",28502
"67","z0056378_Mnov_MS51_n0028503_R1.fastq.gz",239478,3,"C",5,"z0056378",28503
"68","z0056378_Mnov_MS51_n0028559_R1.fastq.gz",80184,3,"C",12,"z0056378",28559
"69","z0056380_Mnov_MS51_n0028504_R1.fastq.gz",2340,3,"D",5,"z0056380",28504
"70","z0056382_Mnov_MS51_n0028505_R1.fastq.gz",87568,3,"E",5,"z0056382",28505
"71","z0056384_Mnov_MS51_n0028506_R1.fastq.gz",51672,3,"F",5,"z0056384",28506
"72","z0056386_Mnov_MS51_n0028507_R1.fastq.gz",64607,3,"G",5,"z0056386",28507
"73","z0056389_Mnov_MS51_n0028508_R1.fastq.gz",30926,3,"H",5,"z0056389",28508
"74","z0056391_Mnov_MS51_n0028509_R1.fastq.gz",64951,3,"A",6,"z0056391",28509
"75","z0056392_Mnov_MS51_n0028510_R1.fastq.gz",35006,3,"B",6,"z0056392",28510
"76","z0056393_Mnov_MS51_n0028511_R1.fastq.gz",73876,3,"C",6,"z0056393",28511
"77","z0056394_Mnov_MS51_n0028512_R1.fastq.gz",208101,3,"D",6,"z0056394",28512
"78","z0056395_Mnov_MS51_n0028513_R1.fastq.gz",21506,3,"E",6,"z0056395",28513
"79","z0056396_Mnov_MS51_n0028514_R1.fastq.gz",1075,3,"F",6,"z0056396",28514
"80","z0056397_Mnov_MS51_n0028515_R1.fastq.gz",274070,3,"G",6,"z0056397",28515
"81","z0056399_Mnov_MS51_n0028516_R1.fastq.gz",88931,3,"H",6,"z0056399",28516
"82","z0061973_Mnov_MS51_n0028517_R1.fastq.gz",1010,3,"A",7,"z0061973",28517
"83","z0061976_Mnov_MS51_n0028518_R1.fastq.gz",2147,3,"B",7,"z0061976",28518
"84","z0061980_Mnov_MS51_n0028519_R1.fastq.gz",298299,3,"C",7,"z0061980",28519
"85","z0066792_Mnov_MS51_n0028520_R1.fastq.gz",744,3,"D",7,"z0066792",28520
"86","z0066792_Mnov_MS51_n0028560_R1.fastq.gz",68845,3,"D",12,"z0066792",28560
"87","z0066805_Mnov_MS51_n0028521_R1.fastq.gz",300,3,"E",7,"z0066805",28521
"88","z0101084_Mnov_MS51_n0028522_R1.fastq.gz",178,3,"F",7,"z0101084",28522
"89","z0101085_Mnov_MS51_n0028523_R1.fastq.gz",200,3,"G",7,"z0101085",28523
"90","z0107055_Mnov_MS51_n0028579_R1.fastq.gz",418918,8,"G",2,"z0107055",28579
"91","z0107073_Mnov_MS51_n0028580_R1.fastq.gz",664524,8,"H",2,"z0107073",28580
