Sample,Plate,Row,Column,LABID,Miseq.num,tot.reads,tot.aligned.reads,median.aligned.reads.per.loc,gt.10.aligned,gt.20.aligned,X..on.target,AnimalID,Duplicate1,Duplicate2,Duplicate3,Herd,all.2021.data.herds,SEX.x,HAP,mito.haps,USE.x,GTseq.stratum,Optimization.sample,Main.run,Latitude.x,Longitude.x,YR.x,SOURCE.x,Contact,Notes,Permission.requested,Permission.received,Photo.Need.permission,Photo.Have.permission,FIELDID,Animal_ID,SOURCE.y,Collection_Method,CONTACT_NAME,Organization,Label,LAB,SpCode,SpType,Species_Type,SpName,Genus,Species,CommonName,USE.y,Restrict_Description,YR.y,MO,DA,Location,City,Island,County,State,Country,Latitude.y,Latitude_Precision,Latitude_Precision_Unit,Longitude.y,Longitude_Precision,Longitude_Precision_Unit,OBasin,Ocean_Basin,SEX.y,Gender_Determination,ACCESSIONDATE,GENBANK.,GENBANK1,GENBANK2,GENBANK3,COMMENTS,Record_Creation_Date,Edit_User,Edit_Date
z0195258_Mnov_MS51_n0028277_R1.fastq.gz,1,A,1,z0195258,28277,6373,2272,5,69,5,0.357,195258,NA,NA,NA,NA,NA,F,Aminus,NA,CCES,NA,NA,x,47.0786,-124.1794,2018,ENTANGLED-CASCADIA,John,NA,3-Nov-21,"Yes, collaborator",NA,NA - no winter photo,CRC-1681,242606,ENTANGLED-CASCADIA,ENTANGLEMENT,NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,8,10,"Grays Harbor, Ocean City",,,,WASHINGTON,UNITED STATES OF AMERICA,47.0786,1e-04,DEGREE,-124.1794,1e-04,DEGREE,1,North Pacific,F,Field determination: external exam only; live animal or carcass was examined but not dissected.,9/24/18 0:00,NA,NA,NA,NA,Entangled,9/24/18 17:07,Dan Prosperi,9/17/21 8:04
z0195643_Mnov_MS51_n0028278_R1.fastq.gz,1,B,1,z0195643,28278,2212,1589,3,42,0,0.718,195643,NA,NA,NA,NA,NA,F,Aplus,NA,CCES,NA,NA,x,48.4558,-124.9914,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180704-ZIP-02,242615,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,4,,,,,,UNITED STATES OF AMERICA,48.4558,1e-04,DEGREE,-124.9914,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195644_Mnov_MS51_n0028279_R1.fastq.gz,1,C,1,z0195644,28279,14230,11094,29.5,352,300,0.78,195644,NA,NA,NA,NA,NA,M,Aplus,NA,CCES,NA,NA,x,48.4559,-124.9965,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180704-ZIP-03,242616,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,4,,,,,,UNITED STATES OF AMERICA,48.4559,1e-04,DEGREE,-124.9965,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195645_Mnov_MS51_n0028280_R1.fastq.gz,1,D,1,z0195645,28280,1026,256,0,1,0,0.25,195645,NA,NA,NA,NA,NA,F,Aminus,NA,CCES,NA,NA,x,48.4576,-125.0055,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180704-ZIP-04,242617,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,4,,,,,,UNITED STATES OF AMERICA,48.4576,1e-04,DEGREE,-125.0055,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195646_Mnov_MS51_n0028281_R1.fastq.gz,1,E,1,z0195646,28281,311,166,0,0,0,0.534,195646,NA,NA,NA,NA,NA,F,F2,NA,CCES,NA,NA,x,48.4565,-125.0101,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180704-ZIP-05,242618,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,4,,,,,,UNITED STATES OF AMERICA,48.4565,1e-04,DEGREE,-125.0101,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195647_Mnov_MS51_n0028282_R1.fastq.gz,1,F,1,z0195647,28282,2543,691,2,2,0,0.272,195647,NA,NA,NA,NA,NA,M,Aminus,NA,CCES,NA,NA,x,48.4593,-125.0188,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180704-ZIP-06,242619,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,4,,,,,,UNITED STATES OF AMERICA,48.4593,1e-04,DEGREE,-125.0188,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195648_Mnov_MS51_n0028283_R1.fastq.gz,1,G,1,z0195648,28283,1992,381,0,6,0,0.191,195648,NA,NA,NA,NA,NA,M,Aminus,NA,CCES,NA,NA,x,48.4801,-125.0532,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180704-ZIP-07,242620,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,4,,,,,,UNITED STATES OF AMERICA,48.4801,1e-04,DEGREE,-125.0532,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195650_Mnov_MS51_n0028284_R1.fastq.gz,1,H,1,z0195650,28284,7913,3527,8,154,26,0.446,195650,NA,NA,NA,NA,NA,F,E2,NA,CCES,NA,NA,x,48.458,-125.0518,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180705-ZIP-02,242622,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,5,,,,,,UNITED STATES OF AMERICA,48.458,0.001,DEGREE,-125.0518,1e-04,DEGREE,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195651_Mnov_MS51_n0028285_R1.fastq.gz,1,A,2,z0195651,28285,6705,5234,14,246,89,0.781,195651,NA,NA,NA,NA,NA,M,Aplus,NA,CCES,NA,NA,x,48.4645,-125.0154,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180705-ZIP-03,242623,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,5,,,,,,UNITED STATES OF AMERICA,48.4645,1e-04,DEGREE,-125.0154,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
z0195653_Mnov_MS51_n0028286_R1.fastq.gz,1,B,2,z0195653,28286,1039,226,0,1,1,0.218,195653,NA,NA,NA,NA,NA,M,Aplus,NA,CCES,NA,NA,x,48.3542,-125.3579,2018,BIOPSY-SWFSC-CCES,Jeff,NA,2-Nov-21,2-Nov-21,NA,NA - no winter photo,CRC-20180705-ZIP-05,242625,BIOPSY-SWFSC-CCES,BIOPSY (PROJECTILE),NA,NA,NA,ARC,76,C,CETACEA,M nov,Megaptera,novaeangliae,Humpback whale,Y,Donator requested that PI request permission to use in study,2018,7,5,,,,,,UNITED STATES OF AMERICA,48.3542,1e-04,DEGREE,-125.3579,1e-04,DEGREE,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,10/2/18 0:00,NA,NA,NA,NA,lasker sighting 204,10/2/18 14:07,Dan Prosperi,9/17/21 8:04
