"","new.fname","mean","median","gt.10","gt.20"
"1","133302_S784_L001_R1_001",6.52083333333333,2,74,34
"2","187857_S785_L001_R1_001",12.9713541666667,5,136,75
"3","195776_S786_L001_R1_001",0.833333333333333,0,2,1
"4","195777_S787_L001_R1_001",9.46354166666667,3,98,49
"5","195777b_S792_L001_R1_001",5.03125,5,34,2
"6","196887_S788_L001_R1_001",25.03125,9,188,122
"7","197665_S789_L001_R1_001",25.3932291666667,11,208,137
"8","197682_S790_L001_R1_001",0.00520833333333333,0,0,0
"9","37609_S769_L001_R1_001",0.296875,0,0,0
"10","40513_S770_L001_R1_001",22.0130208333333,9,184,125
"11","41051_S771_L001_R1_001",13.5260416666667,6.5,150,83
"12","43475_S772_L001_R1_001",0.0364583333333333,0,0,0
"13","43498_S779_L001_R1_001",11.0520833333333,4,121,66
"14","43839_S773_L001_R1_001",12.90625,5,133,86
"15","43979_S774_L001_R1_001",0.0911458333333333,0,0,0
"16","43979b_S791_L001_R1_001",0.078125,0,1,0
"17","43980_S775_L001_R1_001",30.5859375,15,236,166
"18","44432_S776_L001_R1_001",2.37239583333333,1,16,0
"19","45331_S777_L001_R1_001",63.2734375,34,291,243
"20","47854_S778_L001_R1_001",30.171875,15.5,240,163
"21","53100_S780_L001_R1_001",27.5911458333333,11,203,143
"22","55931_S781_L001_R1_001",42.8802083333333,27,279,229
"23","56392_S782_L001_R1_001",0.322916666666667,0,1,1
"24","75696_S783_L001_R1_001",2.29166666666667,1,19,7
