"","new.fname","mean","median","gt.10","gt.20"
"1","175371_S14_L001_001",22.4076086956522,3,101,59
"2","187857_S15_L001_001",31.616847826087,5,136,85
"3","195776_S16_L001_001",1.17934782608696,0,2,1
"4","195777_S17_L001_001",0.459239130434783,0,0,0
"5","196887_S18_L001_001",0.771739130434783,0,1,0
"6","197665_S19_L001_001",145.486413043478,13.5,208,165
"7","197682_S20_L001_001",99.7391304347826,9,183,150
"8","40513_S1_L001_001",5.42391304347826,2,44,16
"9","43475_S2_L001_001",165.279891304348,15,208,175
"10","43839_S3_L001_001",135.163043478261,19.5,219,184
"11","43980_S4_L001_001",159.853260869565,23,236,192
"12","45331_S5_L001_001",11.0760869565217,1,69,36
"13","45401_S6_L001_001",272.222826086957,14,208,166
"14","45405_S7_L001_001",1.2554347826087,0,4,1
"15","47854_S8_L001_001",0.603260869565217,0,0,0
"16","53100_S9_L001_001",3.35869565217391,2,22,2
"17","55903_S10_L001_001",0.0380434782608696,0,0,0
"18","55931_S11_L001_001",1.82336956521739,1,8,2
"19","56392_S12_L001_001",6.09239130434783,1,37,12
"20","75696_S13_L001_001",138.953804347826,9,179,144
