"","new.fname","mean","median","gt.10","gt.20"
"1","175371b_S34_L001_001",120.307857142857,32,807,764
"2","187857b_S35_L001_001",19.64,5,575,388
"3","195776b_S36_L001_001",5.025,0,163,81
"4","195777b_S37_L001_001",12.5707142857143,0,312,180
"5","196887b_S38_L001_001",14.8214285714286,2,492,310
"6","197665b_S39_L001_001",42.0135714285714,17,792,643
"7","197682b_S40_L001_001",19.9642857142857,8,637,531
"8","40513b_S21_L001_001",8.87857142857143,3,361,196
"9","43475b_S22_L001_001",0.0942857142857143,0,0,0
"10","43839b_S23_L001_001",26.6792857142857,6,642,579
"11","43980b_S24_L001_001",19.3264285714286,2,556,390
"12","45331b_S25_L001_001",39.1021428571429,8,667,622
"13","45401b_S26_L001_001",21.0221428571429,6,525,438
"14","45405b_S27_L001_001",127.855714285714,47,835,809
"15","47854b_S28_L001_001",215.667857142857,53,838,819
"16","53100b_S29_L001_001",31.7685714285714,9,693,610
"17","55903b_S30_L001_001",44.075,23,798,762
"18","55931b_S31_L001_001",21.9385714285714,9,646,567
"19","56392b_S32_L001_001",19.2885714285714,8,649,463
"20","75696b_S33_L001_001",18.0278571428571,4,425,322
