"","locus","num.haps","genos"
"1","Mnov_gtseq_1",2,19
"2","Mnov_gtseq_10",2,17
"3","Mnov_gtseq_102",2,17
"4","Mnov_gtseq_104",2,19
"5","Mnov_gtseq_106",2,9
"6","Mnov_gtseq_107",1,4
"7","Mnov_gtseq_111",2,1
"8","Mnov_gtseq_112",2,16
"9","Mnov_gtseq_113",2,14
"10","Mnov_gtseq_114",2,12
"11","Mnov_gtseq_117",2,5
"12","Mnov_gtseq_118",2,8
"13","Mnov_gtseq_12",2,17
"14","Mnov_gtseq_124",2,3
"15","Mnov_gtseq_125",2,14
"16","Mnov_gtseq_126",2,18
"17","Mnov_gtseq_127",2,13
"18","Mnov_gtseq_128",2,4
"19","Mnov_gtseq_129",2,11
"20","Mnov_gtseq_13",2,19
"21","Mnov_gtseq_130",1,1
"22","Mnov_gtseq_138",2,18
"23","Mnov_gtseq_140",2,19
"24","Mnov_gtseq_141",2,18
"25","Mnov_gtseq_143",2,15
"26","Mnov_gtseq_145",2,18
"27","Mnov_gtseq_147",2,4
"28","Mnov_gtseq_148",2,6
"29","Mnov_gtseq_149",2,17
"30","Mnov_gtseq_15",2,17
"31","Mnov_gtseq_152",2,14
"32","Mnov_gtseq_154",2,14
"33","Mnov_gtseq_155",2,17
"34","Mnov_gtseq_157",2,19
"35","Mnov_gtseq_158",2,19
"36","Mnov_gtseq_159",2,2
"37","Mnov_gtseq_16",2,18
"38","Mnov_gtseq_160",2,19
"39","Mnov_gtseq_161",2,14
"40","Mnov_gtseq_162",2,18
"41","Mnov_gtseq_167",2,17
"42","Mnov_gtseq_168",1,1
"43","Mnov_gtseq_17",2,16
"44","Mnov_gtseq_170",2,18
"45","Mnov_gtseq_171",2,4
"46","Mnov_gtseq_173",2,9
"47","Mnov_gtseq_174",2,13
"48","Mnov_gtseq_178",1,2
"49","Mnov_gtseq_180",2,5
"50","Mnov_gtseq_182",2,13
"51","Mnov_gtseq_186",2,16
"52","Mnov_gtseq_187",2,17
"53","Mnov_gtseq_188",2,3
"54","Mnov_gtseq_189",2,15
"55","Mnov_gtseq_19",2,19
"56","Mnov_gtseq_190",2,18
"57","Mnov_gtseq_191",2,8
"58","Mnov_gtseq_192",2,11
"59","Mnov_gtseq_193",2,19
"60","Mnov_gtseq_195",2,19
"61","Mnov_gtseq_196",2,19
"62","Mnov_gtseq_197",3,19
"63","Mnov_gtseq_2",2,19
"64","Mnov_gtseq_200",2,17
"65","Mnov_gtseq_201",2,19
"66","Mnov_gtseq_202",2,19
"67","Mnov_gtseq_204",2,16
"68","Mnov_gtseq_205",3,19
"69","Mnov_gtseq_208",2,18
"70","Mnov_gtseq_209",2,19
"71","Mnov_gtseq_21",2,19
"72","Mnov_gtseq_210",2,18
"73","Mnov_gtseq_213",2,14
"74","Mnov_gtseq_214",2,13
"75","Mnov_gtseq_215",2,19
"76","Mnov_gtseq_216",2,18
"77","Mnov_gtseq_217",2,9
"78","Mnov_gtseq_218",2,19
"79","Mnov_gtseq_22",2,14
"80","Mnov_gtseq_220",2,18
"81","Mnov_gtseq_222",2,17
"82","Mnov_gtseq_223",2,15
"83","Mnov_gtseq_225",2,19
"84","Mnov_gtseq_227",2,19
"85","Mnov_gtseq_229",2,17
"86","Mnov_gtseq_230",2,15
"87","Mnov_gtseq_232",2,18
"88","Mnov_gtseq_234",2,12
"89","Mnov_gtseq_235",2,17
"90","Mnov_gtseq_237",2,18
"91","Mnov_gtseq_238",2,18
"92","Mnov_gtseq_239",2,19
"93","Mnov_gtseq_240",2,17
"94","Mnov_gtseq_241",2,19
"95","Mnov_gtseq_243",2,19
"96","Mnov_gtseq_244",2,18
"97","Mnov_gtseq_245",2,12
"98","Mnov_gtseq_246",2,17
"99","Mnov_gtseq_247",2,15
"100","Mnov_gtseq_248",2,19
"101","Mnov_gtseq_25",2,17
"102","Mnov_gtseq_250",2,17
"103","Mnov_gtseq_251",2,19
"104","Mnov_gtseq_253",2,11
"105","Mnov_gtseq_254",2,18
"106","Mnov_gtseq_255",2,18
"107","Mnov_gtseq_257",2,18
"108","Mnov_gtseq_258",2,18
"109","Mnov_gtseq_26",2,19
"110","Mnov_gtseq_260",2,16
"111","Mnov_gtseq_261",2,18
