"","new.fname","mean","median","gt.10","gt.20"
"1","175371_S14_L001_001",22.4076086956522,3,101,59
"2","175371b_S34_L001_001",243.451086956522,152.5,339,325
"3","187857_S15_L001_001",31.616847826087,5,136,85
"4","187857b_S35_L001_001",39.4538043478261,28,279,220
"5","195776_S16_L001_001",1.17934782608696,0,2,1
"6","195776b_S36_L001_001",7.6820652173913,3,87,38
"7","195777_S17_L001_001",0.459239130434783,0,0,0
"8","195777b_S37_L001_001",18.9592391304348,8,171,94
"9","196887_S18_L001_001",0.771739130434783,0,1,0
"10","196887b_S38_L001_001",28.2554347826087,16.5,223,166
"11","197665_S19_L001_001",145.486413043478,13.5,208,165
"12","197665b_S39_L001_001",81.1983695652174,70,332,312
"13","197682_S20_L001_001",99.7391304347826,9,183,150
"14","197682b_S40_L001_001",39.6358695652174,31,309,245
"15","40513_S1_L001_001",5.42391304347826,2,44,16
"16","40513b_S21_L001_001",16.2635869565217,11,206,107
"17","43475_S2_L001_001",165.279891304348,15,208,175
"18","43475b_S22_L001_001",0.190217391304348,0,0,0
"19","43839_S3_L001_001",135.163043478261,19.5,219,184
"20","43839b_S23_L001_001",52.6222826086956,43,309,274
"21","43980_S4_L001_001",159.853260869565,23,236,192
"22","43980b_S24_L001_001",38.8423913043478,25,266,224
"23","45331_S5_L001_001",11.0760869565217,1,69,36
"24","45331b_S25_L001_001",78.9184782608696,64,321,302
"25","45401_S6_L001_001",272.222826086957,14,208,166
"26","45401b_S26_L001_001",42.3532608695652,33,300,251
"27","45405_S7_L001_001",1.2554347826087,0,4,1
"28","45405b_S27_L001_001",249.274456521739,216.5,353,342
"29","47854_S8_L001_001",0.603260869565217,0,0,0
"30","47854b_S28_L001_001",409.836956521739,301,355,348
"31","53100_S9_L001_001",3.35869565217391,2,22,2
"32","53100b_S29_L001_001",62.4239130434783,53.5,328,297
"33","55903_S10_L001_001",0.0380434782608696,0,0,0
"34","55903b_S30_L001_001",84.5326086956522,77,341,322
"35","55931_S11_L001_001",1.82336956521739,1,8,2
"36","55931b_S31_L001_001",43.7228260869565,37,314,274
"37","56392_S12_L001_001",6.09239130434783,1,37,12
"38","56392b_S32_L001_001",38.8804347826087,37,316,261
"39","75696_S13_L001_001",138.953804347826,9,179,144
"40","75696b_S33_L001_001",37.570652173913,18,240,178
