,new.fname,mean,median,gt.10,gt.20
11,z0029867_Mnov_MS51_n0028458,0.217391304,0,0,0
37,z0051402_Mnov_MS51_n0028609,0.298913043,0,0,0
40,z0051879_Mnov_MS51_n0028573,0.467391304,0,0,0
46,z0051945_Mnov_MS51_n0028576,0.548913043,0,1,0
79,z0056396_Mnov_MS51_n0028514,0.410326087,0,1,0
82,z0061973_Mnov_MS51_n0028517,0.08423913,0,0,0
85,z0066792_Mnov_MS51_n0028520,0.945652174,0,1,1
87,z0066805_Mnov_MS51_n0028521,0.70923913,0,0,0
88,z0101084_Mnov_MS51_n0028522,0.361413043,0,0,0
89,z0101085_Mnov_MS51_n0028523,0.432065217,0,0,0
99,z0108510_Mnov_MS51_n0028585,0.138586957,0,0,0
112,z0178296_Mnov_MS51_n0028590,4.676630435,0,1,1
113,z0178305_Mnov_MS51_n0028533,0.097826087,0,0,0
117,z0187846_Mnov_MS51_n0028593,0.263586957,0,1,0
118,z0187857_Mnov_MS51_n0028535,0.39673913,0,1,1
125,z0187911_Mnov_MS51_n0028538,0.288043478,0,1,1
129,z0195645_Mnov_MS51_n0028280,0.695652174,0,1,0
130,z0195645_Mnov_MS51_n0028364,0.160326087,0,0,0
131,z0195646_Mnov_MS51_n0028281,0.451086957,0,0,0
133,z0195648_Mnov_MS51_n0028283,1.035326087,0,6,0
136,z0195653_Mnov_MS51_n0028286,0.614130435,0,1,1
138,z0195656_Mnov_MS51_n0028287,0.263586957,0,0,0
141,z0195662_Mnov_MS51_n0028290,0.054347826,0,0,0
142,z0195662_Mnov_MS51_n0028366,0.065217391,0,0,0
147,z0195669_Mnov_MS51_n0028295,0.442934783,0,1,0
149,z0195671_Mnov_MS51_n0028297,0.831521739,0,1,1
150,z0195672_Mnov_MS51_n0028298,0.402173913,0,1,0
152,z0195674_Mnov_MS51_n0028300,0.298913043,0,1,0
153,z0195674_Mnov_MS51_n0028367,0.111413043,0,0,0
157,z0195679_Mnov_MS51_n0028304,0.364130435,0,1,1
158,z0195680_Mnov_MS51_n0028305,0.331521739,0,1,1
