"","locus","num.haps","genos"
"1","Mnov_gtseq_1",2,229
"2","Mnov_gtseq_10",2,208
"3","Mnov_gtseq_102",2,197
"4","Mnov_gtseq_104",2,214
"5","Mnov_gtseq_106",2,169
"6","Mnov_gtseq_107",2,135
"7","Mnov_gtseq_108",2,73
"8","Mnov_gtseq_111",2,149
"9","Mnov_gtseq_112",2,211
"10","Mnov_gtseq_113",2,183
"11","Mnov_gtseq_114",2,185
"12","Mnov_gtseq_117",2,150
"13","Mnov_gtseq_118",2,184
"14","Mnov_gtseq_12",2,194
"15","Mnov_gtseq_124",2,183
"16","Mnov_gtseq_125",2,204
"17","Mnov_gtseq_126",2,220
"18","Mnov_gtseq_127",2,175
"19","Mnov_gtseq_128",2,139
"20","Mnov_gtseq_129",2,196
"21","Mnov_gtseq_13",2,223
"22","Mnov_gtseq_130",2,146
"23","Mnov_gtseq_134",2,14
"24","Mnov_gtseq_135",2,210
"25","Mnov_gtseq_137",2,6
"26","Mnov_gtseq_138",2,215
"27","Mnov_gtseq_140",2,234
"28","Mnov_gtseq_141",2,210
"29","Mnov_gtseq_143",2,195
"30","Mnov_gtseq_145",2,222
"31","Mnov_gtseq_146",2,2
"32","Mnov_gtseq_147",2,147
"33","Mnov_gtseq_148",2,172
"34","Mnov_gtseq_149",2,200
"35","Mnov_gtseq_15",2,208
"36","Mnov_gtseq_152",2,196
"37","Mnov_gtseq_154",2,196
"38","Mnov_gtseq_155",2,218
"39","Mnov_gtseq_157",2,229
"40","Mnov_gtseq_158",2,223
"41","Mnov_gtseq_159",2,135
"42","Mnov_gtseq_16",2,215
"43","Mnov_gtseq_160",2,223
"44","Mnov_gtseq_161",2,187
"45","Mnov_gtseq_162",2,208
"46","Mnov_gtseq_167",2,214
"47","Mnov_gtseq_168",2,73
"48","Mnov_gtseq_17",2,197
"49","Mnov_gtseq_170",2,210
"50","Mnov_gtseq_171",2,142
"51","Mnov_gtseq_173",2,197
"52","Mnov_gtseq_174",2,187
"53","Mnov_gtseq_177",2,4
"54","Mnov_gtseq_178",2,107
"55","Mnov_gtseq_180",2,172
"56","Mnov_gtseq_181",2,36
"57","Mnov_gtseq_182",2,188
