"","labID","genos","missing"
"1","z0011944",331,37
"2","z0016578",289,79
"3","z0018264",331,37
"4","z0029829",306,62
"5","z0029831",102,266
"6","z0029833",333,35
"7","z0029846",1,367
"8","z0029846b",138,230
"9","z0029863",207,161
"10","z0029864",285,83
"11","z0037611",163,205
"12","z0037624",232,136
"13","z0040334",326,42
"14","z0040345",293,75
"15","z0040345b",326,42
"16","z0040363",299,69
"17","z0045329",333,35
"18","z0045331",317,51
"19","z0045332",325,43
"20","z0045333",269,99
"21","z0045337",323,45
"22","z0045342",310,58
"23","z0045350",330,38
"24","z0045350b",329,39
"25","z0045357",331,37
"26","z0045358",325,43
"27","z0045401",18,350
"28","z0045792",53,315
"29","z0051185",326,42
"30","z0051324",90,278
"31","z0051324b",148,220
"32","z0051326",273,95
"33","z0051328",73,295
"34","z0051380",114,254
"35","z0051402b",335,33
"36","z0051404",319,49
"37","z0051405",3,365
"38","z0051891",325,43
"39","z0051893",326,42
"40","z0051898",327,41
"41","z0051899",321,47
"42","z0051929",193,175
"43","z0051945",1,367
"44","z0051947",329,39
"45","z0051968",326,42
"46","z0053055",56,312
"47","z0053754",329,39
"48","z0053756",15,353
"49","z0053757b",222,146
"50","z0053758",281,87
"51","z0053759",331,37
"52","z0053760",146,222
"53","z0053842",71,297
"54","z0053843",321,47
"55","z0053844",306,62
"56","z0053845",63,305
"57","z0053846",1,367
"58","z0053847",328,40
"59","z0053849",326,42
"60","z0056374",219,149
"61","z0056375",329,39
"62","z0056377",329,39
"63","z0056378",323,45
"64","z0056378b",326,42
"65","z0056380",3,365
"66","z0056382",323,45
"67","z0056384",328,40
"68","z0056386",308,60
"69","z0056389",188,180
"70","z0056391",330,38
"71","z0056392",294,74
"72","z0056393",319,49
"73","z0056394",329,39
"74","z0056395",300,68
"75","z0056396",1,367
"76","z0056397",333,35
"77","z0056399",325,43
"78","z0061976",2,366
"79","z0061980",329,39
"80","z0066792",1,367
"81","z0066792b",330,38
"82","z0107055",330,38
"83","z0107073",334,34
"84","z0107078",154,214
"85","z0107080",323,45
