,Sample,Plate,Row,Column,LABID,Miseq.num,tot.reads,tot.aligned.reads,median.aligned.reads.per.loc,gt.10.aligned,gt.20.aligned,well,% on target
96,z0195779_Mnov_MS51_n0028372_R1.fastq.gz,1,H,12,z0195779,28372,5905,81,0,1,0,H12,0.014
81,z0195779_Mnov_MS51_n0028357_R1.fastq.gz,1,A,11,z0195779,28357,2483,40,0,0,0,A11,0.016
282,z0053757_Mnov_MS51_n0028558_R1.fastq.gz,3,B,12,z0053757,28558,38993,680,1,1,1,B12,0.017
241,z0061973_Mnov_MS51_n0028517_R1.fastq.gz,3,A,7,z0061973,28517,1010,31,0,0,0,A7,0.031
70,z0195763_Mnov_MS51_n0028346_R1.fastq.gz,1,F,9,z0195763,28346,383,13,0,0,0,F9,0.034
71,z0195766_Mnov_MS51_n0028347_R1.fastq.gz,1,G,9,z0195766,28347,836,35,0,0,0,G9,0.042
95,z0195769_Mnov_MS51_n0028371_R1.fastq.gz,1,G,12,z0195769,28371,2967,130,0,1,1,G12,0.044
73,z0195770_Mnov_MS51_n0028349_R1.fastq.gz,1,A,10,z0195770,28349,1798,80,0,1,1,A10,0.044
262,z0187911_Mnov_MS51_n0028538_R1.fastq.gz,3,F,9,z0187911,28538,2300,106,0,1,1,F9,0.046
64,z0195750_Mnov_MS51_n0028340_R1.fastq.gz,1,H,8,z0195750,28340,1095,62,0,1,0,H8,0.057
85,z0195786_Mnov_MS51_n0028361_R1.fastq.gz,1,E,11,z0195786,28361,1155,68,0,1,0,E11,0.059
65,z0195755_Mnov_MS51_n0028341_R1.fastq.gz,1,A,9,z0195755,28341,1644,102,0,1,1,A9,0.062
72,z0195769_Mnov_MS51_n0028348_R1.fastq.gz,1,H,9,z0195769,28348,510,41,0,0,0,H9,0.080
220,z0053845_Mnov_MS51_n0028496_R1.fastq.gz,3,D,4,z0053845,28496,26240,2173,5,68,4,D4,0.083
14,z0195662_Mnov_MS51_n0028290_R1.fastq.gz,1,F,2,z0195662,28290,236,20,0,0,0,F2,0.085
183,z0037611_Mnov_MS51_n0028459_R1.fastq.gz,2,G,11,z0037611,28459,44930,3977,9,177,52,G11,0.089
153,z0196850_Mnov_MS51_n0028429_R1.fastq.gz,2,A,8,z0196850,28429,946,84,0,1,1,A8,0.089
77,z0195775_Mnov_MS51_n0028353_R1.fastq.gz,1,E,10,z0195775,28353,2395,216,0,1,1,E10,0.090
300,z0051945_Mnov_MS51_n0028576_R1.fastq.gz,8,D,2,z0051945,28576,2101,202,0,1,0,D2,0.096
67,z0195757_Mnov_MS51_n0028343_R1.fastq.gz,1,C,9,z0195757,28343,779,78,0,1,0,C9,0.100
90,z0195662_Mnov_MS51_n0028366_R1.fastq.gz,1,B,12,z0195662,28366,228,24,0,0,0,B12,0.105
188,z0196839_Mnov_MS51_n0028464_R1.fastq.gz,2,D,12,z0196839,28464,728,90,0,0,0,D12,0.124
190,z0196889_Mnov_MS51_n0028466_R1.fastq.gz,2,F,12,z0196889,28466,854,107,0,0,0,F12,0.125
11,z0195656_Mnov_MS51_n0028287_R1.fastq.gz,1,C,2,z0195656,28287,770,97,0,0,0,C2,0.126
69,z0195761_Mnov_MS51_n0028345_R1.fastq.gz,1,E,9,z0195761,28345,265,35,0,0,0,E9,0.132
80,z0195778_Mnov_MS51_n0028356_R1.fastq.gz,1,H,10,z0195778,28356,3020,419,0,1,1,H10,0.139
166,z0196889_Mnov_MS51_n0028442_R1.fastq.gz,2,F,9,z0196889,28442,933,131,0,1,0,F9,0.140
238,z0056396_Mnov_MS51_n0028514_R1.fastq.gz,3,F,6,z0056396,28514,1075,151,0,1,0,F6,0.140
24,z0195674_Mnov_MS51_n0028300_R1.fastq.gz,1,H,3,z0195674,28300,761,110,0,1,0,H3,0.145
272,z0196810_Mnov_MS51_n0028548_R1.fastq.gz,3,H,10,z0196810,28548,2018,294,0,1,1,H10,0.146
191,z0197671_Mnov_MS51_n0028467_R1.fastq.gz,2,G,12,z0197671,28467,9495,1385,0,1,1,G12,0.146
66,z0195756_Mnov_MS51_n0028342_R1.fastq.gz,1,B,9,z0195756,28342,1685,247,0,1,1,B9,0.147
29,z0195680_Mnov_MS51_n0028305_R1.fastq.gz,1,E,4,z0195680,28305,807,122,0,1,1,E4,0.151
87,z0195791_Mnov_MS51_n0028363_R1.fastq.gz,1,G,11,z0195791,28363,216,33,0,0,0,G11,0.153
28,z0195679_Mnov_MS51_n0028304_R1.fastq.gz,1,D,4,z0195679,28304,836,134,0,1,1,D4,0.160
32,z0195684_Mnov_MS51_n0028308_R1.fastq.gz,1,H,4,z0195684,28308,1321,229,0,2,1,H4,0.173
150,z0196846_Mnov_MS51_n0028426_R1.fastq.gz,2,F,7,z0196846,28426,830,145,0,0,0,F7,0.175
200,z0045401_Mnov_MS51_n0028476_R1.fastq.gz,3,H,1,z0045401,28476,6792,1188,1,19,1,H1,0.175
33,z0195685_Mnov_MS51_n0028309_R1.fastq.gz,1,A,5,z0195685,28309,1075,190,0,1,0,A5,0.177
25,z0195675_Mnov_MS51_n0028301_R1.fastq.gz,1,A,4,z0195675,28301,3835,695,1,3,1,A4,0.181
309,z0108510_Mnov_MS51_n0028585_R1.fastq.gz,8,E,3,z0108510,28585,272,51,0,0,0,E3,0.188
7,z0195648_Mnov_MS51_n0028283_R1.fastq.gz,1,G,1,z0195648,28283,1992,381,0,6,0,G1,0.191
82,z0195780_Mnov_MS51_n0028358_R1.fastq.gz,1,B,11,z0195780,28358,6014,1151,2,8,1,B11,0.191
91,z0195674_Mnov_MS51_n0028367_R1.fastq.gz,1,C,12,z0195674,28367,209,41,0,0,0,C12,0.196
146,z0196840_Mnov_MS51_n0028422_R1.fastq.gz,2,B,7,z0196840,28422,1093,219,0,1,1,B7,0.200
169,z0196895_Mnov_MS51_n0028445_R1.fastq.gz,2,A,10,z0196895,28445,489,99,0,0,0,A10,0.202
192,z0029846_Mnov_MS51_n0028468_R1.fastq.gz,2,H,12,z0029846,28468,4381,892,2,2,1,H12,0.204
289,z0029831_Mnov_MS51_n0028565_R1.fastq.gz,8,A,1,z0029831,28565,13257,2719,7,105,7,A1,0.205
317,z0187846_Mnov_MS51_n0028593_R1.fastq.gz,8,E,4,z0187846,28593,470,97,0,1,0,E4,0.206
256,z0178294_Mnov_MS51_n0028532_R1.fastq.gz,3,H,8,z0178294,28532,3157,658,1,1,1,H8,0.208
10,z0195653_Mnov_MS51_n0028286_R1.fastq.gz,1,B,2,z0195653,28286,1039,226,0,1,1,B2,0.218
213,z0053757_Mnov_MS51_n0028489_R1.fastq.gz,3,E,3,z0053757,28489,25342,5571,15,244,113,E3,0.220
19,z0195669_Mnov_MS51_n0028295_R1.fastq.gz,1,C,3,z0195669,28295,706,163,0,1,0,C3,0.231
22,z0195672_Mnov_MS51_n0028298_R1.fastq.gz,1,F,3,z0195672,28298,633,148,0,1,0,F3,0.234
16,z0195665_Mnov_MS51_n0028292_R1.fastq.gz,1,H,2,z0195665,28292,1721,417,1,1,1,H2,0.242
27,z0195678_Mnov_MS51_n0028303_R1.fastq.gz,1,C,4,z0195678,28303,2206,546,1,2,1,C4,0.248
86,z0195787_Mnov_MS51_n0028362_R1.fastq.gz,1,F,11,z0195787,28362,5345,1331,2,11,1,F11,0.249
4,z0195645_Mnov_MS51_n0028280_R1.fastq.gz,1,D,1,z0195645,28280,1026,256,0,1,0,D1,0.250
79,z0195777_Mnov_MS51_n0028355_R1.fastq.gz,1,G,10,z0195777,28355,3310,830,1,6,1,G10,0.251
296,z0051405_Mnov_MS51_n0028572_R1.fastq.gz,8,H,1,z0051405,28572,4160,1047,2,4,0,H1,0.252
37,z0195695_Mnov_MS51_n0028313_R1.fastq.gz,1,E,5,z0195695,28313,513,131,0,0,0,E5,0.255
165,z0196888_Mnov_MS51_n0028441_R1.fastq.gz,2,E,9,z0196888,28441,5240,1360,2,11,1,E9,0.260
