"","labID","genos","missing"
"1","z0011944",350,18
"2","z0016578",303,65
"3","z0018264",354,14
"4","z0029829",323,45
"5","z0029833",356,12
"6","z0029864",299,69
"7","z0037624",238,130
"8","z0040334",346,22
"9","z0040345",299,69
"10","z0040363",314,54
"11","z0045329",355,13
"12","z0045331",331,37
"13","z0045332",344,24
"14","z0045333",280,88
"15","z0045337",344,24
"16","z0045342",325,43
"17","z0045350",351,17
"18","z0045357",355,13
"19","z0045358",344,24
"20","z0051185",345,23
"21","z0051326",282,86
"22","z0051404",338,30
"23","z0051891",346,22
"24","z0051893",347,21
"25","z0051898",348,20
"26","z0051899",342,26
"27","z0051947",346,22
"28","z0051968",343,25
"29","z0053754",348,20
"30","z0053758",292,76
"31","z0053759",352,16
"32","z0053843",340,28
"33","z0053844",325,43
"34","z0053847",349,19
"35","z0053849",348,20
"36","z0056375",350,18
"37","z0056377",350,18
"38","z0056378",343,25
"39","z0056382",343,25
"40","z0056384",348,20
"41","z0056386",327,41
"42","z0056391",349,19
"43","z0056392",302,66
"44","z0056393",337,31
"45","z0056394",350,18
"46","z0056395",314,54
"47","z0056397",352,16
"48","z0056399",346,22
"49","z0061980",346,22
"50","z0066792",1,367
"51","z0107055",354,14
"52","z0107073",354,14
"53","z0107080",342,26
"54","z0107101",339,29
"55","z0108480",346,22
"56","z0108489",294,74
"57","z0108508",327,41
"58","z0133302",319,49
"59","z0173485",343,25
"60","z0175377",348,20
"61","z0175927",242,126
"62","z0175928",348,20
"63","z0175937",336,32
"64","z0178348",327,41
"65","z0187842",350,18
"66","z0187860",352,16
"67","z0187868",56,312
"68","z0187906",329,39
"69","z0195644",335,33
"70","z0195697",324,44
"71","z0195700",344,24
"72","z0195703",345,23
"73","z0195706",352,16
"74","z0195707",349,19
"75","z0195708",349,19
"76","z0195709",351,17
"77","z0195710",350,18
"78","z0195712",349,19
"79","z0195713",353,15
"80","z0195714",347,21
"81","z0195715",348,20
"82","z0195717",351,17
"83","z0195720",342,26
"84","z0195722",350,18
"85","z0195726",301,67
"86","z0195727",339,29
"87","z0195729",338,30
"88","z0195730",349,19
"89","z0195733",351,17
"90","z0195735",355,13
"91","z0195738",352,16
"92","z0195739",345,23
"93","z0195741",349,19
"94","z0195742",357,11
"95","z0195743",349,19
"96","z0195748",352,16
"97","z0196707",352,16
"98","z0196708",329,39
"99","z0196709",343,25
"100","z0196714",353,15
"101","z0196718",349,19
"102","z0196721",336,32
"103","z0196722",346,22
"104","z0196726",345,23
"105","z0196727",347,21
"106","z0196728",347,21
"107","z0196730",339,29
"108","z0196732",342,26
"109","z0196733",253,115
"110","z0196736",348,20
"111","z0196737",337,31
"112","z0196738",286,82
"113","z0196741",313,55
"114","z0196742",354,14
"115","z0196743",348,20
"116","z0196744",344,24
"117","z0196746",345,23
"118","z0196747",344,24
"119","z0196748",343,25
"120","z0196749",348,20
"121","z0196750",342,26
"122","z0196753",340,28
"123","z0196755",314,54
"124","z0196756",350,18
"125","z0196757",351,17
"126","z0196758",348,20
"127","z0196759",338,30
"128","z0196760",345,23
"129","z0196761",346,22
"130","z0196762",326,42
"131","z0196765",350,18
"132","z0196767",348,20
"133","z0196768",345,23
"134","z0196770",327,41
"135","z0196772",344,24
"136","z0196773",342,26
"137","z0196775",348,20
"138","z0196777",345,23
"139","z0196778",344,24
"140","z0196781",347,21
"141","z0196783",352,16
"142","z0196793",319,49
"143","z0196794",343,25
"144","z0196795",319,49
"145","z0196800",295,73
"146","z0196804",323,45
"147","z0196822",352,16
"148","z0196823",351,17
"149","z0196826",348,20
"150","z0196830",288,80
"151","z0196831",344,24
"152","z0196832",307,61
"153","z0196833",326,42
"154","z0196848",349,19
"155","z0196854",346,22
"156","z0196859",353,15
"157","z0196860",350,18
"158","z0196861",349,19
"159","z0196862",349,19
"160","z0196863",348,20
"161","z0196865",348,20
"162","z0196886",317,51
"163","z0197658",121,247
"164","z0197659",318,50
"165","z0197662",319,49
"166","z0197665",346,22
"167","z0197671",1,367
"168","z0197673",336,32
"169","z0197679",351,17
