"","Sample","Plate","Row","Column","LABID","Miseq.num","fname2","tot.reads","tot.aligned.reads","median.aligned.reads.per.loc","gt.10.aligned","gt.20.aligned","pct.on.target"
"1","z0195258_S1_L001_R1.fastq.gz",1,"A",1,"z0195258",28277,"z0195258_S1_L001_R1.fastq.gz",347449,58525,86.5,281,257,0.16844198716934
"2","z0195643_S2_L001_R1.fastq.gz",1,"B",1,"z0195643",28278,"z0195643_S2_L001_R1.fastq.gz",61597,31951,39,251,218,0.51871032680163
"3","z0195644_S3_L001_R1.fastq.gz",1,"C",1,"z0195644",28279,"z0195644_S3_L001_R1.fastq.gz",739605,372157,728.5,326,319,0.503183456033964
"4","z0195645_S4_L001_R1.fastq.gz",1,"D",1,"z0195645",28280,"z0195645_S4_L001_R1.fastq.gz",36022,1132,0,1,1,0.031425240131031
"5","z0195646_S5_L001_R1.fastq.gz",1,"E",1,"z0195646",28281,"z0195646_S5_L001_R1.fastq.gz",9430,969,1,14,2,0.102757158006363
"6","z0195647_S6_L001_R1.fastq.gz",1,"F",1,"z0195647",28282,"z0195647_S6_L001_R1.fastq.gz",140871,11463,16,216,170,0.0813723193560066
"7","z0195648_S7_L001_R1.fastq.gz",1,"G",1,"z0195648",28283,"z0195648_S7_L001_R1.fastq.gz",50898,6758,2,97,56,0.13277535463083
"8","z0195650_S8_L001_R1.fastq.gz",1,"H",1,"z0195650",28284,"z0195650_S8_L001_R1.fastq.gz",673908,147159,240,307,293,0.218366601969408
"9","z0195651_S9_L001_R1.fastq.gz",1,"A",2,"z0195651",28285,"z0195651_S9_L001_R1.fastq.gz",289159,151006,242.5,317,299,0.522224796738127
"10","z0195653_S10_L001_R1.fastq.gz",1,"B",2,"z0195653",28286,"z0195653_S10_L001_R1.fastq.gz",105231,11412,2,91,57,0.108447130598398
"11","z0195656_S11_L001_R1.fastq.gz",1,"C",2,"z0195656",28287,"z0195656_S11_L001_R1.fastq.gz",49085,564,0,1,1,0.0114902719771824
"12","z0195657_S12_L001_R1.fastq.gz",1,"D",2,"z0195657",28288,"z0195657_S12_L001_R1.fastq.gz",583518,66708,41,249,222,0.114320380862287
"13","z0195659_S13_L001_R1.fastq.gz",1,"E",2,"z0195659",28289,"z0195659_S13_L001_R1.fastq.gz",438479,47152,39.5,252,223,0.107535366573998
"14","z0195662_S14_L001_R1.fastq.gz",1,"F",2,"z0195662",28290,"z0195662_S14_L001_R1.fastq.gz",18582,555,0,1,1,0.0298676138198256
"15","z0195664_S15_L001_R1.fastq.gz",1,"G",2,"z0195664",28291,"z0195664_S15_L001_R1.fastq.gz",88677,9099,3,108,65,0.10260834263676
"16","z0195665_S16_L001_R1.fastq.gz",1,"H",2,"z0195665",28292,"z0195665_S16_L001_R1.fastq.gz",91498,4272,1,19,6,0.0466895451266694
"17","z0195667_S17_L001_R1.fastq.gz",1,"A",3,"z0195667",28293,"z0195667_S17_L001_R1.fastq.gz",613251,184649,269.5,310,299,0.301098571384311
"18","z0195668_S18_L001_R1.fastq.gz",1,"B",3,"z0195668",28294,"z0195668_S18_L001_R1.fastq.gz",353142,58499,65,269,243,0.165652910160785
"19","z0195669_S19_L001_R1.fastq.gz",1,"C",3,"z0195669",28295,"z0195669_S19_L001_R1.fastq.gz",47011,3931,1,53,18,0.0836187275318542
"20","z0195670_S20_L001_R1.fastq.gz",1,"D",3,"z0195670",28296,"z0195670_S20_L001_R1.fastq.gz",86918,12251,3,111,65,0.140948940380589
"21","z0195671_S21_L001_R1.fastq.gz",1,"E",3,"z0195671",28297,"z0195671_S21_L001_R1.fastq.gz",102241,13983,4,138,95,0.136765094238124
"22","z0195672_S22_L001_R1.fastq.gz",1,"F",3,"z0195672",28298,"z0195672_S22_L001_R1.fastq.gz",64095,4376,1,74,34,0.0682736562914424
"23","z0195673_S23_L001_R1.fastq.gz",1,"G",3,"z0195673",28299,"z0195673_S23_L001_R1.fastq.gz",354762,43405,39.5,255,223,0.122349631583992
"24","z0195674_S24_L001_R1.fastq.gz",1,"H",3,"z0195674",28300,"z0195674_S24_L001_R1.fastq.gz",43277,1341,0,4,1,0.030986436213231
"25","z0195675_S25_L001_R1.fastq.gz",1,"A",4,"z0195675",28301,"z0195675_S25_L001_R1.fastq.gz",271588,16700,10,187,132,0.0614901983887359
"26","z0195677_S26_L001_R1.fastq.gz",1,"B",4,"z0195677",28302,"z0195677_S26_L001_R1.fastq.gz",681531,154603,132,297,263,0.226846614460677
"27","z0195678_S27_L001_R1.fastq.gz",1,"C",4,"z0195678",28303,"z0195678_S27_L001_R1.fastq.gz",106814,13247,3.5,133,77,0.124019323309678
"28","z0195679_S28_L001_R1.fastq.gz",1,"D",4,"z0195679",28304,"z0195679_S28_L001_R1.fastq.gz",51399,3841,0,22,12,0.0747290803323022
"29","z0195680_S29_L001_R1.fastq.gz",1,"E",4,"z0195680",28305,"z0195680_S29_L001_R1.fastq.gz",48646,3254,0.5,40,11,0.0668914196439584
"30","z0195681_S30_L001_R1.fastq.gz",1,"F",4,"z0195681",28306,"z0195681_S30_L001_R1.fastq.gz",37157,2556,1,32,9,0.0687891918077348
"31","z0195682_S31_L001_R1.fastq.gz",1,"G",4,"z0195682",28307,"z0195682_S31_L001_R1.fastq.gz",208485,20862,10.5,189,147,0.100064752859918
"32","z0195684_S32_L001_R1.fastq.gz",1,"H",4,"z0195684",28308,"z0195684_S32_L001_R1.fastq.gz",104320,8293,2,111,58,0.079495782208589
"33","z0040985_S33_L001_R1.fastq.gz",4,"A",1,"z0040985",33,"",2973,888,2,6,0,0.298688193743693
"34","z0041519_S34_L001_R1.fastq.gz",4,"B",1,"z0041519",34,"",827,111,0,0,0,0.134220072551391
"35","z0040961_S35_L001_R1.fastq.gz",4,"C",1,"z0040961",35,"",35994,21923,49,350,312,0.609073734511307
"36","z0041051_S36_L001_R1.fastq.gz",4,"D",1,"z0041051",36,"",12939,6516,16,270,132,0.503593786227684
"37","z0041243_S37_L001_R1.fastq.gz",4,"E",1,"z0041243",37,"",7951,5773,12.5,210,124,0.726072192177085
"38","z0041250_S38_L001_R1.fastq.gz",4,"F",1,"z0041250",38,"",7214,3879,10,194,46,0.537704463543111
"39","z0043243_S39_L001_R1.fastq.gz",4,"G",1,"z0043243",39,"",5569,3652,9,180,33,0.655773029269169
"40","z0043747_S40_L001_R1.fastq.gz",4,"H",1,"z0043747",40,"",1617,537,1,1,0,0.332096474953618
"41","z0043789_S41_L001_R1.fastq.gz",4,"A",2,"z0043789",41,"",1548,764,2,3,0,0.493540051679587
"42","z0043807_S42_L001_R1.fastq.gz",4,"B",2,"z0043807",42,"",140309,128969,291,362,353,0.91917838485058
"43","z0043819_S43_L001_R1.fastq.gz",4,"C",2,"z0043819",43,"",722,124,0,1,0,0.171745152354571
"44","z0043876_S44_L001_R1.fastq.gz",4,"D",2,"z0043876",44,"",5628,3493,7,149,40,0.620646766169154
"45","z0043877_S45_L001_R1.fastq.gz",4,"E",2,"z0043877",45,"",17548,10514,25,318,233,0.599156599042626
"46","z0043915_S46_L001_R1.fastq.gz",4,"F",2,"z0043915",46,"",16542,10718,26,323,232,0.647926490146294
"47","z0047854_S47_L001_R1.fastq.gz",4,"G",2,"z0047854",47,"",20046,13842,28,317,246,0.690511822807543
"48","z0040275_S48_L001_R1.fastq.gz",4,"H",2,"z0040275",48,"",8354,4976,13,248,72,0.595642805841513
"49","z0040287_S49_L001_R1.fastq.gz",4,"A",3,"z0040287",49,"",25015,14714,38.5,353,315,0.588207075754547
"50","z0041233_S50_L001_R1.fastq.gz",4,"B",3,"z0041233",50,"",33893,28309,67.5,358,342,0.835246216032809
"51","z0041248_S51_L001_R1.fastq.gz",4,"C",3,"z0041248",51,"",5989,3941,10,192,43,0.658039739522458
"52","z0043267_S52_L001_R1.fastq.gz",4,"D",3,"z0043267",52,"",1192,354,1,0,0,0.296979865771812
"53","z0043278_S53_L001_R1.fastq.gz",4,"E",3,"z0043278",53,"",9369,6207,15,280,128,0.662504002561639
"54","z0043566_S54_L001_R1.fastq.gz",4,"F",3,"z0043566",54,"",770,517,1,0,0,0.671428571428571
"55","z0043572_S55_L001_R1.fastq.gz",4,"G",3,"z0043572",55,"",306290,290464,647.5,366,366,0.948330014038983
"56","z0043599_S56_L001_R1.fastq.gz",4,"H",3,"z0043599",56,"",5718,3018,7,139,11,0.527806925498426
"57","z0043631_S57_L001_R1.fastq.gz",4,"A",4,"z0043631",57,"",1878,670,1,1,0,0.356762513312034
"58","z0043642_S58_L001_R1.fastq.gz",4,"B",4,"z0043642",58,"",93857,88035,190,363,357,0.937969464184877
"59","z0043649_S59_L001_R1.fastq.gz",4,"C",4,"z0043649",59,"",140338,132206,258.5,361,356,0.942054183471334
