"","locus","genos","num.haps"
"1","Mnov_gtseq_1",141,3
"2","Mnov_gtseq_10",140,3
"3","Mnov_gtseq_102",138,3
"4","Mnov_gtseq_104",141,3
"5","Mnov_gtseq_106",136,3
"6","Mnov_gtseq_107",128,3
"7","Mnov_gtseq_108",44,3
"8","Mnov_gtseq_111",93,3
"9","Mnov_gtseq_112",137,3
"10","Mnov_gtseq_113",136,3
"11","Mnov_gtseq_114",135,3
"12","Mnov_gtseq_117",126,3
"13","Mnov_gtseq_118",136,3
"14","Mnov_gtseq_12",135,3
"15","Mnov_gtseq_124",136,3
"16","Mnov_gtseq_125",135,3
"17","Mnov_gtseq_126",139,3
"18","Mnov_gtseq_127",136,3
"19","Mnov_gtseq_128",125,3
"20","Mnov_gtseq_129",135,3
"21","Mnov_gtseq_13",139,3
"22","Mnov_gtseq_130",97,3
"23","Mnov_gtseq_134",17,3
"24","Mnov_gtseq_135",138,3
"25","Mnov_gtseq_137",1,1
"26","Mnov_gtseq_138",138,3
"27","Mnov_gtseq_140",138,3
"28","Mnov_gtseq_141",139,3
"29","Mnov_gtseq_143",134,3
"30","Mnov_gtseq_145",137,3
"31","Mnov_gtseq_146",0,0
"32","Mnov_gtseq_147",131,3
"33","Mnov_gtseq_148",135,3
"34","Mnov_gtseq_149",137,3
"35","Mnov_gtseq_15",140,3
"36","Mnov_gtseq_152",135,3
"37","Mnov_gtseq_154",131,3
"38","Mnov_gtseq_155",71,3
"39","Mnov_gtseq_157",139,3
"40","Mnov_gtseq_158",138,3
"41","Mnov_gtseq_159",126,3
"42","Mnov_gtseq_16",141,3
"43","Mnov_gtseq_160",136,3
"44","Mnov_gtseq_161",137,3
"45","Mnov_gtseq_162",137,3
"46","Mnov_gtseq_167",138,3
"47","Mnov_gtseq_168",21,3
"48","Mnov_gtseq_17",137,3
"49","Mnov_gtseq_170",139,3
"50","Mnov_gtseq_171",127,3
"51","Mnov_gtseq_173",131,3
"52","Mnov_gtseq_174",133,3
"53","Mnov_gtseq_177",0,0
"54","Mnov_gtseq_178",82,3
"55","Mnov_gtseq_180",127,3
"56","Mnov_gtseq_181",113,2
"57","Mnov_gtseq_182",134,3
"58","Mnov_gtseq_186",101,3
"59","Mnov_gtseq_187",140,3
"60","Mnov_gtseq_188",131,3
"61","Mnov_gtseq_189",136,3
"62","Mnov_gtseq_19",140,3
"63","Mnov_gtseq_190",141,3
"64","Mnov_gtseq_191",105,3
"65","Mnov_gtseq_192",130,3
"66","Mnov_gtseq_193",141,3
"67","Mnov_gtseq_195",141,3
"68","Mnov_gtseq_196",140,3
"69","Mnov_gtseq_197",140,6
"70","Mnov_gtseq_2",139,3
"71","Mnov_gtseq_200",139,3
"72","Mnov_gtseq_201",140,3
"73","Mnov_gtseq_202",141,3
"74","Mnov_gtseq_204",139,3
"75","Mnov_gtseq_205",140,5
"76","Mnov_gtseq_208",140,3
"77","Mnov_gtseq_209",140,3
"78","Mnov_gtseq_21",141,3
"79","Mnov_gtseq_210",137,3
"80","Mnov_gtseq_213",136,3
"81","Mnov_gtseq_214",135,3
"82","Mnov_gtseq_215",141,3
"83","Mnov_gtseq_216",138,3
"84","Mnov_gtseq_218",138,3
"85","Mnov_gtseq_22",137,3
"86","Mnov_gtseq_220",141,3
"87","Mnov_gtseq_222",128,3
"88","Mnov_gtseq_223",137,3
"89","Mnov_gtseq_225",139,3
"90","Mnov_gtseq_227",142,3
"91","Mnov_gtseq_229",138,3
"92","Mnov_gtseq_230",135,3
"93","Mnov_gtseq_231",136,1
"94","Mnov_gtseq_232",139,3
"95","Mnov_gtseq_234",136,3
"96","Mnov_gtseq_235",141,3
"97","Mnov_gtseq_237",138,3
"98","Mnov_gtseq_238",140,3
"99","Mnov_gtseq_239",139,3
"100","Mnov_gtseq_240",139,3
"101","Mnov_gtseq_241",143,3
"102","Mnov_gtseq_243",139,3
"103","Mnov_gtseq_244",141,3
"104","Mnov_gtseq_245",133,3
"105","Mnov_gtseq_246",137,3
"106","Mnov_gtseq_247",136,3
"107","Mnov_gtseq_248",140,3
"108","Mnov_gtseq_25",138,3
"109","Mnov_gtseq_250",137,3
"110","Mnov_gtseq_251",138,3
"111","Mnov_gtseq_253",134,3
"112","Mnov_gtseq_254",140,3
"113","Mnov_gtseq_255",139,3
"114","Mnov_gtseq_257",140,3
"115","Mnov_gtseq_258",141,3
"116","Mnov_gtseq_26",143,2
"117","Mnov_gtseq_260",141,3
"118","Mnov_gtseq_261",139,3
"119","Mnov_gtseq_262",136,3
"120","Mnov_gtseq_263",140,3
"121","Mnov_gtseq_265",140,3
"122","Mnov_gtseq_268",142,3
"123","Mnov_gtseq_269",140,3
"124","Mnov_gtseq_270",134,3
"125","Mnov_gtseq_271",135,3
"126","Mnov_gtseq_273",136,3
"127","Mnov_gtseq_274",140,3
"128","Mnov_gtseq_275",136,3
"129","Mnov_gtseq_277",142,3
"130","Mnov_gtseq_278",136,2
"131","Mnov_gtseq_28",141,3
"132","Mnov_gtseq_281",138,3
"133","Mnov_gtseq_284",141,3
"134","Mnov_gtseq_285",141,3
"135","Mnov_gtseq_287",141,3
"136","Mnov_gtseq_288",135,3
"137","Mnov_gtseq_289",141,3
"138","Mnov_gtseq_297",141,3
"139","Mnov_gtseq_298",126,3
"140","Mnov_gtseq_299",141,3
"141","Mnov_gtseq_3",77,3
"142","Mnov_gtseq_30",128,5
"143","Mnov_gtseq_300",139,3
"144","Mnov_gtseq_301",139,6
"145","Mnov_gtseq_304",132,3
"146","Mnov_gtseq_305",136,3
"147","Mnov_gtseq_307",132,3
"148","Mnov_gtseq_308",140,3
"149","Mnov_gtseq_309",139,6
"150","Mnov_gtseq_310",133,3
"151","Mnov_gtseq_311",133,3
"152","Mnov_gtseq_312",138,3
"153","Mnov_gtseq_313",136,3
"154","Mnov_gtseq_314",140,3
"155","Mnov_gtseq_315",139,3
"156","Mnov_gtseq_317",136,3
"157","Mnov_gtseq_318",139,3
"158","Mnov_gtseq_320",136,3
"159","Mnov_gtseq_321",141,3
"160","Mnov_gtseq_322",135,3
"161","Mnov_gtseq_323",139,3
"162","Mnov_gtseq_324",38,3
"163","Mnov_gtseq_326",134,3
"164","Mnov_gtseq_327",137,3
"165","Mnov_gtseq_328",140,3
"166","Mnov_gtseq_33",141,3
"167","Mnov_gtseq_332",128,3
"168","Mnov_gtseq_333",140,3
"169","Mnov_gtseq_334",141,3
"170","Mnov_gtseq_335",139,3
"171","Mnov_gtseq_337",134,6
"172","Mnov_gtseq_338",140,3
"173","Mnov_gtseq_339",139,3
"174","Mnov_gtseq_340",134,3
"175","Mnov_gtseq_341",140,3
"176","Mnov_gtseq_342",138,3
"177","Mnov_gtseq_344",141,3
"178","Mnov_gtseq_345",139,3
"179","Mnov_gtseq_347",137,3
"180","Mnov_gtseq_350",129,3
"181","Mnov_gtseq_352",134,3
"182","Mnov_gtseq_353",136,3
"183","Mnov_gtseq_354",128,3
"184","Mnov_gtseq_355",114,3
"185","Mnov_gtseq_356",136,3
"186","Mnov_gtseq_357",140,3
"187","Mnov_gtseq_359",131,3
"188","Mnov_gtseq_360",120,3
"189","Mnov_gtseq_361",135,3
"190","Mnov_gtseq_363",115,3
"191","Mnov_gtseq_364",134,3
"192","Mnov_gtseq_366",140,3
"193","Mnov_gtseq_368",134,3
"194","Mnov_gtseq_37",140,3
"195","Mnov_gtseq_370",137,3
"196","Mnov_gtseq_371",131,3
"197","Mnov_gtseq_372",137,3
"198","Mnov_gtseq_373",136,3
"199","Mnov_gtseq_374",138,3
"200","Mnov_gtseq_376",133,2
"201","Mnov_gtseq_377",135,3
"202","Mnov_gtseq_378",140,3
"203","Mnov_gtseq_379",139,3
"204","Mnov_gtseq_38",141,3
"205","Mnov_gtseq_380",137,3
"206","Mnov_gtseq_383",132,3
"207","Mnov_gtseq_384",141,3
"208","Mnov_gtseq_386",131,3
"209","Mnov_gtseq_388",129,3
"210","Mnov_gtseq_39",141,3
"211","Mnov_gtseq_390",138,3
"212","Mnov_gtseq_391",134,3
"213","Mnov_gtseq_394",141,3
"214","Mnov_gtseq_397",140,3
"215","Mnov_gtseq_398",139,3
"216","Mnov_gtseq_399",140,3
"217","Mnov_gtseq_40",137,3
"218","Mnov_gtseq_400",133,3
"219","Mnov_gtseq_401",139,3
"220","Mnov_gtseq_402",138,3
"221","Mnov_gtseq_405",137,3
"222","Mnov_gtseq_406",137,3
"223","Mnov_gtseq_407",139,3
"224","Mnov_gtseq_41",140,3
"225","Mnov_gtseq_410",133,3
"226","Mnov_gtseq_413",141,2
"227","Mnov_gtseq_415",137,3
"228","Mnov_gtseq_416",85,2
"229","Mnov_gtseq_417",129,3
"230","Mnov_gtseq_42",140,3
"231","Mnov_gtseq_420",132,3
"232","Mnov_gtseq_421",131,6
"233","Mnov_gtseq_424",136,3
"234","Mnov_gtseq_426",141,2
"235","Mnov_gtseq_43",141,3
"236","Mnov_gtseq_431",117,3
"237","Mnov_gtseq_434",141,3
"238","Mnov_gtseq_438",130,3
"239","Mnov_gtseq_44",128,3
"240","Mnov_gtseq_440",141,3
"241","Mnov_gtseq_441",137,3
"242","Mnov_gtseq_442",119,3
"243","Mnov_gtseq_444",136,3
"244","Mnov_gtseq_445",141,3
"245","Mnov_gtseq_446",138,3
"246","Mnov_gtseq_447",137,3
"247","Mnov_gtseq_448",137,3
"248","Mnov_gtseq_45",139,3
"249","Mnov_gtseq_451",141,3
"250","Mnov_gtseq_452",139,3
"251","Mnov_gtseq_454",137,3
"252","Mnov_gtseq_46",140,3
"253","Mnov_gtseq_461",3,2
"254","Mnov_gtseq_462",132,3
"255","Mnov_gtseq_463",135,3
"256","Mnov_gtseq_465",131,3
"257","Mnov_gtseq_468",141,3
"258","Mnov_gtseq_47",136,3
"259","Mnov_gtseq_470",140,3
"260","Mnov_gtseq_471",127,3
"261","Mnov_gtseq_472",136,3
"262","Mnov_gtseq_473",132,3
"263","Mnov_gtseq_475",138,3
"264","Mnov_gtseq_477",141,3
"265","Mnov_gtseq_478",139,3
"266","Mnov_gtseq_479",141,3
"267","Mnov_gtseq_48",139,3
"268","Mnov_gtseq_50",140,3
"269","Mnov_gtseq_502",139,3
"270","Mnov_gtseq_504",139,3
"271","Mnov_gtseq_506",138,3
"272","Mnov_gtseq_507",137,3
"273","Mnov_gtseq_509",136,3
"274","Mnov_gtseq_51",136,3
"275","Mnov_gtseq_511",130,3
"276","Mnov_gtseq_513",141,3
"277","Mnov_gtseq_514",139,3
"278","Mnov_gtseq_515",131,3
"279","Mnov_gtseq_516",2,1
"280","Mnov_gtseq_517",130,3
"281","Mnov_gtseq_518",139,3
"282","Mnov_gtseq_520",135,3
"283","Mnov_gtseq_521",136,3
"284","Mnov_gtseq_522",141,3
"285","Mnov_gtseq_523",140,3
"286","Mnov_gtseq_526",92,3
"287","Mnov_gtseq_529",125,3
"288","Mnov_gtseq_53",140,3
"289","Mnov_gtseq_532",138,3
"290","Mnov_gtseq_533",138,3
"291","Mnov_gtseq_536",110,3
"292","Mnov_gtseq_539",126,3
"293","Mnov_gtseq_54",141,3
"294","Mnov_gtseq_541",141,3
"295","Mnov_gtseq_543",139,3
"296","Mnov_gtseq_544",138,3
"297","Mnov_gtseq_545",138,3
"298","Mnov_gtseq_546",133,3
"299","Mnov_gtseq_547",142,3
"300","Mnov_gtseq_548",138,3
"301","Mnov_gtseq_549",137,3
"302","Mnov_gtseq_55",132,3
"303","Mnov_gtseq_550",133,3
"304","Mnov_gtseq_553",123,2
"305","Mnov_gtseq_56",140,3
"306","Mnov_gtseq_57",140,3
"307","Mnov_gtseq_58",134,3
"308","Mnov_gtseq_6",137,3
"309","Mnov_gtseq_60",141,3
"310","Mnov_gtseq_61",141,3
"311","Mnov_gtseq_63",135,3
"312","Mnov_gtseq_64",141,3
"313","Mnov_gtseq_65",141,3
"314","Mnov_gtseq_66",139,3
"315","Mnov_gtseq_67",141,3
"316","Mnov_gtseq_68",106,3
"317","Mnov_gtseq_69",141,3
"318","Mnov_gtseq_70",140,3
"319","Mnov_gtseq_71",138,3
"320","Mnov_gtseq_72",141,3
"321","Mnov_gtseq_73",141,3
"322","Mnov_gtseq_74",140,3
"323","Mnov_gtseq_75",139,6
"324","Mnov_gtseq_8",135,3
"325","Mnov_gtseq_80",137,3
"326","Mnov_gtseq_81",136,3
"327","Mnov_gtseq_82",140,3
"328","Mnov_gtseq_83",141,3
"329","Mnov_gtseq_84",141,3
"330","Mnov_gtseq_86",141,3
"331","Mnov_gtseq_88",129,3
"332","Mnov_gtseq_90",142,3
"333","Mnov_gtseq_91",141,3
"334","Mnov_gtseq_92",141,3
"335","Mnov_gtseq_93",139,3
"336","Mnov_gtseq_94",139,3
"337","Mnov_gtseq_97",139,3
"338","Mnov_gtseq_98",141,3
