,labID,genos,missing
88,z0195647,2,366
56,z0053757,9,359
70,z0061982,11,357
59,z0053845,108,260
90,z0195649,124,244
118,z0195770,187,181
143,z0207777,206,162
42,z0051875,212,156
142,z0197682,224,144
37,z0046925,242,126
33,z0044432,266,102
76,z0146087,270,98
94,z0195659,280,88
93,z0195657,281,87
29,z0043704,292,76
11,z0041248,308,60
18,z0043489,309,59
66,z0056374,311,57
102,z0195675,311,57
1,z0005757,314,54
23,z0043599,317,51
78,z0175912,317,51
85,z0187911,318,50
97,z0195668,318,50
106,z0195684,318,50
123,z0195777,318,50
4,z0029828,319,49
19,z0043494,319,49
22,z0043566,319,49
99,z0195671,319,49
100,z0195672,319,49
104,z0195682,319,49
108,z0195689,319,49
122,z0195776,319,49
140,z0197660,319,49
47,z0053025,320,48
83,z0187857,320,48
121,z0195773,320,48
7,z0029863,321,47
13,z0041274,321,47
58,z0053842,321,47
60,z0053846,321,47
80,z0175916,321,47
98,z0195670,321,47
112,z0195736,321,47
3,z0016577,322,46
12,z0041250,322,46
87,z0195643,322,46
116,z0195762,322,46
119,z0195771,322,46
10,z0041243,323,45
46,z0051959,323,45
49,z0053082,323,45
134,z0196846,323,45
9,z0040387,324,44
16,z0043243,324,44
17,z0043278,324,44
21,z0043498,324,44
30,z0043819,324,44
36,z0045407,324,44
39,z0051328,324,44
75,z0113628,324,44
89,z0195648,324,44
110,z0195693,324,44
129,z0196811,324,44
132,z0196838,324,44
133,z0196839,324,44
138,z0196891,324,44
8,z0040308,325,43
14,z0041519,325,43
71,z0066805,325,43
91,z0195653,325,43
101,z0195673,325,43
103,z0195678,325,43
127,z0196805,325,43
6,z0029860,326,42
15,z0041526,326,42
25,z0043668,326,42
28,z0043693,326,42
34,z0045347,326,42
61,z0056034,326,42
67,z0056389,326,42
105,z0195683,326,42
111,z0195705,326,42
114,z0195755,326,42
115,z0195756,326,42
136,z0196851,326,42
20,z0043496,327,41
27,z0043686,327,41
35,z0045398,327,41
38,z0051326,327,41
45,z0051929,327,41
55,z0053756,327,41
57,z0053760,327,41
68,z0061527,327,41
86,z0195258,327,41
95,z0195663,327,41
124,z0195778,327,41
125,z0195784,327,41
126,z0195791,327,41
128,z0196810,327,41
139,z0196894,327,41
144,z0207778,327,41
31,z0043994,328,40
32,z0044033,328,40
43,z0051895,328,40
44,z0051918,328,40
48,z0053055,328,40
73,z0108510,328,40
74,z0108513,328,40
84,z0187859,328,40
113,z0195751,328,40
117,z0195767,328,40
120,z0195772,328,40
137,z0196887,328,40
40,z0051380,329,39
51,z0053101,329,39
54,z0053149,329,39
69,z0061969,329,39
79,z0175915,329,39
82,z0187811,329,39
135,z0196847,329,39
52,z0053133,330,38
62,z0056064,330,38
64,z0056069,330,38
96,z0195664,330,38
107,z0195688,330,38
131,z0196829,330,38
141,z0197664,330,38
2,z0005758,331,37
24,z0043650,331,37
26,z0043674,331,37
41,z0051405,331,37
53,z0053138,331,37
63,z0056065,331,37
65,z0056073,331,37
72,z0107078,331,37
109,z0195691,331,37
130,z0196828,331,37
81,z0175927,332,36
92,z0195655,332,36
5,z0029831,333,35
77,z0175378,333,35
50,z0053096,335,33
