"","locus","num.haps","genos"
"1","Mnov_gtseq_1",2,448
"2","Mnov_gtseq_10",2,405
"3","Mnov_gtseq_102",2,379
"4","Mnov_gtseq_104",2,412
"5","Mnov_gtseq_106",2,180
"6","Mnov_gtseq_107",2,127
"7","Mnov_gtseq_108",2,65
"8","Mnov_gtseq_111",2,131
"9","Mnov_gtseq_112",2,324
"10","Mnov_gtseq_113",2,367
"11","Mnov_gtseq_114",3,250
"12","Mnov_gtseq_117",2,186
"13","Mnov_gtseq_118",2,270
"14","Mnov_gtseq_12",2,412
"15","Mnov_gtseq_124",2,357
"16","Mnov_gtseq_125",2,412
"17","Mnov_gtseq_127",2,348
"18","Mnov_gtseq_128",2,139
"19","Mnov_gtseq_129",2,413
"20","Mnov_gtseq_13",2,437
"21","Mnov_gtseq_130",2,230
"22","Mnov_gtseq_134",2,66
"23","Mnov_gtseq_137",2,26
"24","Mnov_gtseq_138",2,418
"25","Mnov_gtseq_140",2,439
"26","Mnov_gtseq_141",2,425
"27","Mnov_gtseq_143",2,361
"28","Mnov_gtseq_145",2,363
"29","Mnov_gtseq_146",2,18
"30","Mnov_gtseq_147",2,109
"31","Mnov_gtseq_148",2,228
"32","Mnov_gtseq_149",2,373
"33","Mnov_gtseq_15",2,419
"34","Mnov_gtseq_152",2,399
"35","Mnov_gtseq_154",2,332
"36","Mnov_gtseq_155",2,333
"37","Mnov_gtseq_157",2,438
"38","Mnov_gtseq_158",2,449
"39","Mnov_gtseq_159",2,292
"40","Mnov_gtseq_16",2,403
"41","Mnov_gtseq_160",2,322
"42","Mnov_gtseq_161",2,373
"43","Mnov_gtseq_162",2,419
"44","Mnov_gtseq_167",2,394
"45","Mnov_gtseq_168",2,22
"46","Mnov_gtseq_17",2,390
"47","Mnov_gtseq_170",2,433
"48","Mnov_gtseq_171",2,70
"49","Mnov_gtseq_174",2,344
"50","Mnov_gtseq_177",2,21
"51","Mnov_gtseq_178",2,92
"52","Mnov_gtseq_180",2,321
"53","Mnov_gtseq_181",2,59
"54","Mnov_gtseq_182",2,313
"55","Mnov_gtseq_186",2,64
"56","Mnov_gtseq_187",2,119
"57","Mnov_gtseq_188",2,186
"58","Mnov_gtseq_189",2,333
"59","Mnov_gtseq_19",2,462
"60","Mnov_gtseq_190",2,438
"61","Mnov_gtseq_191",2,210
"62","Mnov_gtseq_192",2,207
"63","Mnov_gtseq_193",2,453
"64","Mnov_gtseq_195",2,442
"65","Mnov_gtseq_196",2,404
"66","Mnov_gtseq_197",3,432
"67","Mnov_gtseq_2",2,432
"68","Mnov_gtseq_200",4,363
"69","Mnov_gtseq_201",2,440
"70","Mnov_gtseq_202",2,414
"71","Mnov_gtseq_204",2,284
"72","Mnov_gtseq_205",3,453
"73","Mnov_gtseq_208",2,406
"74","Mnov_gtseq_209",2,426
"75","Mnov_gtseq_21",2,444
"76","Mnov_gtseq_210",2,242
"77","Mnov_gtseq_213",2,346
"78","Mnov_gtseq_214",2,345
"79","Mnov_gtseq_215",2,438
"80","Mnov_gtseq_216",2,399
"81","Mnov_gtseq_218",2,434
"82","Mnov_gtseq_22",2,394
"83","Mnov_gtseq_220",2,393
"84","Mnov_gtseq_222",2,306
"85","Mnov_gtseq_223",2,356
"86","Mnov_gtseq_225",2,448
"87","Mnov_gtseq_227",2,423
"88","Mnov_gtseq_229",2,375
"89","Mnov_gtseq_232",2,443
"90","Mnov_gtseq_234",2,290
"91","Mnov_gtseq_235",2,401
"92","Mnov_gtseq_237",2,426
"93","Mnov_gtseq_238",2,427
"94","Mnov_gtseq_239",2,388
"95","Mnov_gtseq_240",2,410
"96","Mnov_gtseq_241",2,468
"97","Mnov_gtseq_243",2,435
"98","Mnov_gtseq_244",2,422
"99","Mnov_gtseq_245",2,100
"100","Mnov_gtseq_246",2,422
"101","Mnov_gtseq_247",2,285
"102","Mnov_gtseq_248",2,435
"103","Mnov_gtseq_25",2,403
"104","Mnov_gtseq_250",2,304
"105","Mnov_gtseq_253",2,164
"106","Mnov_gtseq_254",2,437
"107","Mnov_gtseq_255",2,423
"108","Mnov_gtseq_257",2,422
"109","Mnov_gtseq_258",2,416
"110","Mnov_gtseq_26",2,469
"111","Mnov_gtseq_260",2,397
"112","Mnov_gtseq_261",2,322
"113","Mnov_gtseq_262",2,284
"114","Mnov_gtseq_263",2,405
"115","Mnov_gtseq_265",2,435
"116","Mnov_gtseq_268",2,462
"117","Mnov_gtseq_269",2,345
"118","Mnov_gtseq_270",3,261
"119","Mnov_gtseq_271",2,384
"120","Mnov_gtseq_273",2,323
"121","Mnov_gtseq_274",2,392
"122","Mnov_gtseq_275",2,246
"123","Mnov_gtseq_277",2,475
"124","Mnov_gtseq_278",2,377
"125","Mnov_gtseq_28",2,446
