,labID,genos,missing
70,z0041483,336,32
85,z0043477,336,32
100,z0043572,336,32
48,z0040439,335,33
56,z0041026,335,33
75,z0041512,335,33
447,z0195713,335,33
44,z0040364,334,34
125,z0043980,334,34
188,z0051402,333,35
344,z0107073,333,35
348,z0107101,333,35
473,z0195742,333,35
13,z0018264,332,36
19,z0029833,332,36
137,z0045326,332,36
187,z0051400,332,36
87,z0043481,331,37
307,z0056375,331,37
382,z0187860,331,37
567,z0196766,331,37
138,z0045329,330,38
166,z0045776,330,38
326,z0061980,330,38
384,z0187885,330,38
465,z0195733,330,38
553,z0196752,330,38
555,z0196754,330,38
570,z0196769,330,38
103,z0043642,329,39
145,z0045350,329,39
147,z0045357,329,39
173,z0045793,329,39
202,z0051898,329,39
245,z0053759,329,39
311,z0056382,329,39
343,z0107055,329,39
378,z0187842,329,39
450,z0195716,329,39
466,z0195735,329,39
469,z0195738,329,39
506,z0196686,329,39
5,z0011944,328,40
7,z0012701,328,40
72,z0041498,328,40
153,z0045404,328,40
156,z0045719,328,40
168,z0045781,328,40
180,z0051185,328,40
433,z0195699,328,40
436,z0195702,328,40
451,z0195717,328,40
475,z0195748,328,40
507,z0196687,328,40
508,z0196689,328,40
517,z0196710,328,40
538,z0196736,328,40
565,z0196764,328,40
620,z0196854,328,40
650,z0197669,328,40
654,z0197679,328,40
38,z0040333,327,41
122,z0043954,327,41
160,z0045733,327,41
164,z0045741,327,41
165,z0045742,327,41
308,z0056377,327,41
309,z0056378,327,41
321,z0056399,327,41
361,z0173485,327,41
438,z0195704,327,41
441,z0195707,327,41
443,z0195709,327,41
444,z0195710,327,41
520,z0196714,327,41
523,z0196719,327,41
528,z0196725,327,41
531,z0196728,327,41
544,z0196742,327,41
552,z0196751,327,41
579,z0196783,327,41
595,z0196825,327,41
602,z0196833,327,41
615,z0196848,327,41
621,z0196855,327,41
625,z0196859,327,41
626,z0196860,327,41
41,z0040345,326,42
68,z0041472,326,42
106,z0043652,326,42
158,z0045728,326,42
159,z0045731,326,42
212,z0052846,326,42
225,z0053078,326,42
235,z0053131,326,42
236,z0053132,326,42
318,z0056394,326,42
319,z0056395,326,42
320,z0056397,326,42
323,z0061967,326,42
350,z0108489,326,42
445,z0195711,326,42
446,z0195712,326,42
514,z0196707,326,42
557,z0196756,326,42
594,z0196824,326,42
