,labID,genos,missing
37,z0040439,337,31
60,z0041512,337,31
67,z0043477,337,31
43,z0041026,336,32
55,z0041483,336,32
81,z0043572,336,32
105,z0043980,336,32
370,z0195713,336,32
103,z0043954,335,33
167,z0051402,335,33
396,z0195742,335,33
35,z0040364,334,34
69,z0043481,334,34
117,z0045326,333,35
118,z0045329,333,35
470,z0196751,333,35
471,z0196752,333,35
14,z0029833,332,36
53,z0041472,332,36
137,z0045719,332,36
313,z0187860,332,36
389,z0195735,332,36
473,z0196754,332,36
485,z0196766,332,36
488,z0196769,332,36
536,z0196854,332,36
57,z0041498,331,37
85,z0043642,331,37
93,z0043807,331,37
149,z0045781,331,37
166,z0051400,331,37
279,z0107073,331,37
433,z0196707,331,37
446,z0196725,331,37
462,z0196742,331,37
126,z0045350,330,38
128,z0045357,330,38
139,z0045728,330,38
147,z0045776,330,38
151,z0045793,330,38
213,z0053132,330,38
268,z0056397,330,38
278,z0107055,330,38
359,z0195702,330,38
366,z0195709,330,38
373,z0195716,330,38
388,z0195733,330,38
398,z0195748,330,38
483,z0196764,330,38
497,z0196783,330,38
537,z0196855,330,38
541,z0196859,330,38
9,z0018264,329,39
30,z0040333,329,39
58,z0041501,329,39
74,z0043493,329,39
88,z0043652,329,39
134,z0045404,329,39
142,z0045736,329,39
145,z0045741,329,39
146,z0045742,329,39
156,z0047854,329,39
174,z0051888,329,39
194,z0053031,329,39
212,z0053131,329,39
262,z0056391,329,39
271,z0061967,329,39
286,z0108508,329,39
303,z0175937,329,39
320,z0195644,329,39
361,z0195704,329,39
365,z0195708,329,39
392,z0195738,329,39
426,z0196687,329,39
436,z0196710,329,39
438,z0196714,329,39
441,z0196719,329,39
476,z0196757,329,39
492,z0196774,329,39
509,z0196822,329,39
519,z0196833,329,39
568,z0197679,329,39
3,z0011944,328,40
141,z0045733,328,40
158,z0049020,328,40
197,z0053051,328,40
202,z0053078,328,40
222,z0053759,328,40
231,z0055903,328,40
276,z0066792,328,40
356,z0195699,328,40
363,z0195706,328,40
364,z0195707,328,40
367,z0195710,328,40
369,z0195712,328,40
374,z0195717,328,40
449,z0196728,328,40
456,z0196736,328,40
468,z0196749,328,40
475,z0196756,328,40
511,z0196824,328,40
542,z0196860,328,40
8,z0016579,327,41
86,z0043649,327,41
140,z0045731,327,41
144,z0045740,327,41
178,z0051898,327,41
189,z0052846,327,41
190,z0052882,327,41
210,z0053103,327,41
251,z0056092,327,41
255,z0056377,327,41
265,z0056394,327,41
309,z0187842,327,41
368,z0195711,327,41
371,z0195714,327,41
425,z0196686,327,41
513,z0196826,327,41
531,z0196848,327,41
539,z0196857,327,41
544,z0196862,327,41
564,z0197669,327,41
22,z0037607,326,42
32,z0040345,326,42
68,z0043478,326,42
127,z0045352,326,42
218,z0053754,326,42
246,z0056062,326,42
254,z0056375,326,42
259,z0056384,326,42
302,z0175928,326,42
378,z0195722,326,42
391,z0195737,326,42
395,z0195741,326,42
397,z0195743,326,42
427,z0196689,326,42
440,z0196718,326,42
443,z0196722,326,42
479,z0196760,326,42
484,z0196765,326,42
493,z0196775,326,42
510,z0196823,326,42
521,z0196835,326,42
535,z0196852,326,42
545,z0196863,326,42
28,z0040287,325,43
47,z0041233,325,43
138,z0045720,325,43
143,z0045739,325,43
148,z0045779,325,43
211,z0053111,325,43
229,z0053847,325,43
242,z0055999,325,43
256,z0056378,325,43
275,z0061980,325,43
296,z0175377,325,43
315,z0187885,325,43
372,z0195715,325,43
448,z0196727,325,43
474,z0196755,325,43
477,z0196758,325,43
486,z0196767,325,43
490,z0196772,325,43
494,z0196777,325,43
496,z0196781,325,43
543,z0196861,325,43
31,z0040334,324,44
132,z0045399,324,44
162,z0051327,324,44
175,z0051891,324,44
185,z0051947,324,44
230,z0053849,324,44
239,z0055996,324,44
249,z0056085,324,44
283,z0108480,324,44
295,z0175371,324,44
385,z0195730,324,44
452,z0196731,324,44
463,z0196743,324,44
538,z0196856,324,44
546,z0196864,324,44
547,z0196865,324,44
562,z0197665,324,44
33,z0040357,323,45
130,z0045371,323,45
176,z0051893,323,45
200,z0053071,323,45
269,z0056399,323,45
292,z0173485,323,45
360,z0195703,323,45
447,z0196726,323,45
455,z0196734,323,45
465,z0196746,323,45
466,z0196747,323,45
480,z0196761,323,45
481,z0196762,323,45
482,z0196763,323,45
495,z0196778,323,45
500,z0196794,323,45
532,z0196849,323,45
59,z0041507,322,46
119,z0045331,322,46
120,z0045332,322,46
157,z0049019,322,46
159,z0051185,322,46
201,z0053073,322,46
216,z0053142,322,46
240,z0055997,322,46
252,z0056095,322,46
357,z0195700,322,46
376,z0195720,322,46
393,z0195739,322,46
435,z0196709,322,46
450,z0196729,322,46
487,z0196768,322,46
517,z0196831,322,46
111,z0044042,321,47
122,z0045337,321,47
129,z0045358,321,47
188,z0051968,321,47
195,z0053032,321,47
241,z0055998,321,47
258,z0056382,321,47
432,z0196694,321,47
453,z0196732,321,47
464,z0196744,321,47
467,z0196748,321,47
45,z0041115,320,48
135,z0045405,320,48
179,z0051899,320,48
198,z0053054,320,48
234,z0055931,320,48
235,z0055944,320,48
237,z0055971,320,48
431,z0196693,320,48
472,z0196753,320,48
80,z0043526,319,49
225,z0053843,319,49
281,z0107080,319,49
430,z0196692,319,49
491,z0196773,319,49
512,z0196825,319,49
556,z0197658,319,49
173,z0051885,318,50
282,z0107101,318,50
469,z0196750,318,50
478,z0196759,318,50
382,z0195727,317,51
451,z0196730,317,51
