"","new.fname","mean","median","gt.10","gt.20"
"1","z0040334_Hi04",149.223958333333,102,380,370
"2","z0040345_Hi04",127.984375,85.5,375,360
"3","z0040363_Hi04",237.703125,180,381,375
"4","z0040364_Hi04",198.393229166667,149,383,376
"5","z0040439_Hi04",125.450520833333,78.5,376,343
"6","z0040985_Hi04",125.971354166667,87,374,354
"7","z0056387_CoR05",149.4921875,110,379,356
"8","z0056388_CoR05",192.484375,147,380,371
"9","z0056389_CoR05",198.395833333333,150.5,383,373
"10","z0056391_CoR05",236.1328125,171.5,384,376
"11","z0056398_CoR05",188.885416666667,140,380,369
"12","z0063269_OK06",102.666666666667,74,377,350
"13","z0063273_OK06",156.453125,121.5,383,360
"14","z0063275_OK06",139.854166666667,103,382,363
"15","z0063328_OK06",164.703125,121,384,370
"16","z0063342_OK06",197.122395833333,149,381,375
"17","z121_MnoIS04",112.494791666667,82.5,373,345
"18","z69_MnoIS04",175.846354166667,136.5,382,369
"19","z72_MnoIS04",171.9375,131.5,382,369
"20","z74_MnoIS04",150.223958333333,109.5,381,366
"21","z76_MnoIS04",155.479166666667,115,381,365
"22","z82_MnoIS04",147.677083333333,102,380,367
