LABID,prod,val,MS43,MS45,MS51,MS54,times.run,genos.10readsMin,genos.20readsMin
z0040439,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,337,335
z0041512,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,337,335
z0043477,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,337,336
z0043572,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,337,336
z0051402,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,337,333
z0041026,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,336,335
z0041483,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,336,336
z0043980,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,4,336,334
z0107073,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,336,333
z0195713,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,336,335
z0043954,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,335,327
z0053759,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,335,329
z0107101,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,335,333
z0195742,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,335,333
z0018264,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,334,332
z0029833,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,334,332
z0040364,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,334,334
z0043481,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,334,331
z0045326,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,334,332
z0045329,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,334,330
z0051400,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,334,332
z0196751,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,334,327
z0196766,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,334,331
z0012701,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,333,328
z0040345,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,333,326
z0056375,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,333,331
z0061980,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,333,330
z0173485,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,333,327
z0187885,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,333,330
z0195735,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,333,329
z0196752,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,333,330
z0196754,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,333,330
z0011944,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,332,328
z0040333,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,332,327
z0041472,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,332,326
z0041498,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,332,328
z0045719,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,332,328
z0045776,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,332,330
z0051185,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,332,328
z0051898,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,332,329
z0056382,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,332,329
z0187860,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,332,331
z0195733,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,332,330
z0196710,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,332,328
z0196725,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,332,327
z0196742,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,332,327
z0196764,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,332,328
z0196769,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,332,330
z0196854,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,332,328
z0196855,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,332,327
z0041501,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,325
z0043642,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,329
z0043807,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,324
z0045357,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,331,329
z0045733,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,327
z0045781,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,328
z0045793,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,329
z0056062,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,325
z0056377,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,331,327
z0056378,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,331,327
z0056395,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,331,326
z0108489,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,331,326
z0187842,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,331,329
z0195702,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,328
z0195707,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,331,327
z0195708,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,331,325
z0195716,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,329
z0196686,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,331,329
